 
 
 
Job Number: 19-D0966 WL 0494109             State/Country: AB                                                                       
Company: Ridgeback Resources                Declination: 14.10°                         
Lease/Well: Ridgeback Hz Lochend            Grid: True                                  
Location: 7-13-26-3                         File name: C:\WINSERVE\966-SP1.SVY          
Rig Name: Horizon 23                        Date/Time: 09-Nov-19 / 01:10                
RKB: 1224.69                                Curve Name: Surveys                         
G.L. or M.S.L.: 1219                        
 
 
 
                            Pacesetter Directional Drilling                             
 
 
 
                              WINSERVE SURVEY CALCULATIONS                              
                                Minimum Curvature Method                                
                            Vertical Section Plane   286.63                             
      Vertical Section Referenced to offset from Wellhead: EW =.00  m , NS=.00  m       
                     Rectangular Coordinates Referenced to Wellhead                     
 
 
 
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
                                                                                        
    1288.97      18.99     328.30    1284.78      30.33     -18.00      25.92       7.71     -60.09
                                                                                        
                                                                                        
                                        PAGE - 2                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
    1298.56      20.19     326.08    1293.81      33.03     -19.74      28.37       4.42     -69.12
    1308.04      20.70     322.89    1302.69      35.72     -21.67      30.98       3.88     -78.00
    1317.63      21.03     323.27    1311.66      38.45     -23.72      33.73       1.12     -86.97
    1327.22      21.49     327.41    1320.59      41.31     -25.69      36.44       4.91     -95.90
    1336.71      22.45     328.21    1329.39      44.32     -27.58      39.11       3.18    -104.70
                                                                                        
    1346.27      24.05     328.05    1338.18      47.52     -29.58      41.94       5.02    -113.49
    1355.75      26.32     328.45    1346.76      50.95     -31.70      44.95       7.20    -122.07
    1365.23      27.40     327.63    1355.21      54.58     -33.97      48.17       3.61    -130.52
Begin Hold                                                                              
    1374.71      27.34     326.42    1363.63      58.24     -36.34      51.49       1.77    -138.94
    1384.18      26.72     326.42    1372.07      61.83     -38.72      54.79       1.96    -147.38
                                                                                        
    1393.67      25.91     326.55    1380.57      65.33     -41.04      58.02       2.57    -155.88
    1403.16      27.11     327.47    1389.07      68.89     -43.35      61.25       4.01    -164.38
    1422.12      29.95     328.86    1405.72      76.58     -48.12      68.02       4.61    -181.03
    1441.10      27.09     327.94    1422.40      84.30     -52.86      74.78       4.57    -197.71
    1460.06      26.16     328.16    1439.35      91.51     -57.36      81.15       1.48    -214.66
                                                                                        
    1479.18      25.46     328.57    1456.56      98.60     -61.73      87.36       1.13    -231.87
    1488.79      25.54     328.10    1465.23     102.12     -63.90      90.45        .68    -240.54
    1498.27      25.21     329.54    1473.80     105.59     -66.00      93.46       2.21    -249.11
    1507.75      25.28     331.64    1482.37     109.12     -67.99      96.37       2.84    -257.68
    1517.21      26.00     332.39    1490.90     112.73     -69.91      99.25       2.50    -266.21
                                                                                        
    1526.68      28.01     332.02    1499.34     116.53     -71.91     102.26       6.39    -274.65
    1536.27      30.45     331.20    1507.71     120.65     -74.14     105.57       7.73    -283.02
    1545.86      30.75     330.94    1515.96     124.93     -76.50     109.05       1.03    -291.27
    1555.35      29.70     330.94    1524.16     129.10     -78.82     112.47       3.32    -299.47
    1564.94      27.94     330.94    1532.56     133.14     -81.07     115.78       5.51    -307.87
                                                                                        
    1574.41      27.59     329.98    1540.94     136.98     -83.24     118.96       1.80    -316.25
    1583.90      28.58     329.58    1549.31     140.84     -85.49     122.22       3.19    -324.62
    1593.48      28.10     328.81    1557.75     144.75     -87.82     125.57       1.89    -333.06
    1603.06      26.50     328.19    1566.26     148.49     -90.11     128.84       5.09    -341.57
    1612.55      27.00     327.77    1574.73     152.11     -92.38     132.05       1.69    -350.04
                                                                                        
    1622.00      27.89     326.74    1583.12     155.78     -94.74     135.36       3.20    -358.43
    1631.58      26.84     325.73    1591.63     159.44     -97.18     138.75       3.60    -366.94
    1641.17      25.74     326.70    1600.23     162.97     -99.55     142.02       3.69    -375.54
    1650.67      26.51     326.26    1608.76     166.46    -101.86     145.23       2.51    -384.07
    1660.15      26.87     325.87    1617.23     169.99    -104.23     148.52       1.27    -392.54
                                                                                        
    1669.62      26.54     325.86    1625.69     173.51    -106.62     151.82       1.05    -401.00
    1679.11      25.60     326.56    1634.21     176.98    -108.94     155.03       3.13    -409.52
    1688.54      25.17     327.58    1642.73     180.37    -111.14     158.11       1.95    -418.04
    1698.00      24.39     326.20    1651.32     183.69    -113.30     161.13       3.08    -426.63
    1707.60      25.80     325.15    1660.01     187.05    -115.60     164.30       4.62    -435.32
                                                                                        
                                                                                        
                                                                                        
                                        PAGE - 3                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
    1717.19      25.98     325.49    1668.64     190.50    -117.98     167.57        .73    -443.95
    1726.80      26.37     325.35    1677.26     193.99    -120.39     170.87       1.23    -452.57
    1736.41      27.03     327.68    1685.85     197.59    -122.77     174.18       3.86    -461.16
    1745.93      28.50     329.04    1694.27     201.36    -125.09     177.49       5.04    -469.58
    1755.36      29.73     329.13    1702.51     205.30    -127.45     180.88       3.92    -477.82
                                                                                        
    1764.82      30.93     329.17    1710.68     209.40    -129.90     184.40       3.81    -485.99
    1774.33      30.69     329.46    1718.84     213.59    -132.39     187.98        .89    -494.15
    1783.83      29.57     328.66    1727.06     217.68    -134.84     191.50       3.76    -502.37
    1793.31      28.11     328.99    1735.36     221.59    -137.21     194.88       4.65    -510.67
    1802.89      28.39     328.20    1743.80     225.46    -139.57     198.26       1.46    -519.11
                                                                                        
    1812.48      28.98     326.70    1752.22     229.34    -142.05     201.74       2.91    -527.53
    1821.97      29.25     325.02    1760.51     233.16    -144.64     205.32       2.72    -535.82
    1831.46      29.36     324.00    1768.78     236.94    -147.33     208.98       1.62    -544.09
    1840.94      29.38     325.14    1777.04     240.73    -150.03     212.65       1.77    -552.35
    1850.45      29.15     326.24    1785.34     244.57    -152.65     216.26       1.84    -560.65
                                                                                        
    1859.90      29.19     328.27    1793.59     248.45    -155.14     219.75       3.14    -568.90
    1869.40      27.92     330.24    1801.94     252.35    -157.46     223.10       4.99    -577.25
    1878.98      27.14     329.91    1810.43     256.19    -159.67     226.31       2.49    -585.74
    1888.47      26.86     328.63    1818.89     259.89    -161.87     229.48       2.04    -594.20
    1897.97      27.46     327.67    1827.34     263.57    -164.16     232.73       2.35    -602.65
                                                                                        
    1907.49      28.74     327.28    1835.74     267.35    -166.57     236.12       4.07    -611.05
    1916.97      30.62     327.50    1843.97     271.31    -169.10     239.67       5.96    -619.28
    1926.47      29.41     328.39    1852.20     275.33    -171.62     243.24       4.07    -627.51
    1935.98      29.18     331.46    1860.49     279.36    -173.96     246.63       4.79    -635.80
    1945.58      29.12     328.64    1868.88     283.41    -176.29     250.02       4.30    -644.19
                                                                                        
    1955.09      29.97     326.80    1877.15     287.37    -178.79     253.56       3.92    -652.46
    1964.58      30.97     324.34    1885.33     291.34    -181.52     257.30       5.05    -660.64
Interpolated Begin Build                                                                
    1973.00      32.29     323.84    1892.50     294.92    -184.11     260.81       4.80    -667.81
    1974.07      32.46     323.78    1893.40     295.38    -184.44     261.26       4.80    -668.71
    1983.71      33.80     325.21    1901.48     299.67    -187.50     265.42       4.83    -676.79
                                                                                        
    1993.17      35.55     326.51    1909.26     304.12    -190.52     269.59       6.02    -684.57
    2002.64      36.95     327.11    1916.89     308.81    -193.59     273.87       4.58    -692.20
    2012.13      38.24     327.84    1924.41     313.69    -196.70     278.25       4.31    -699.72
    2021.63      39.33     328.49    1931.82     318.75    -199.84     282.70       3.67    -707.13
    2031.09      40.31     328.10    1939.08     323.90    -203.02     287.23       3.21    -714.39
                                                                                        
    2040.57      42.06     328.10    1946.22     329.20    -206.32     291.90       5.54    -721.53
    2050.07      42.34     328.26    1953.26     334.62    -209.69     296.68        .95    -728.57
    2059.56      42.28     329.27    1960.27     340.08    -213.00     301.42       2.16    -735.58
    2069.01      42.11     330.27    1967.28     345.57    -216.19     306.05       2.20    -742.59
    2078.49      42.98     329.78    1974.26     351.12    -219.40     310.71       2.95    -749.57
                                                                                        
    2088.09      45.31     329.63    1981.15     356.89    -222.77     315.59       7.29    -756.46
                                                                                        
                                                                                        
                                        PAGE - 4                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
    2097.56      47.81     330.66    1987.66     362.86    -226.19     320.58       8.27    -762.97
    2107.05      49.70     330.47    1993.92     369.07    -229.70     325.71       5.99    -769.23
    2116.54      51.93     330.15    1999.91     375.46    -233.34     331.03       7.09    -775.22
    2126.13      52.77     329.66    2005.77     382.03    -237.15     336.56       2.89    -781.08
    2135.59      53.91     328.79    2011.42     388.55    -241.03     342.15       4.24    -786.73
                                                                                        
    2145.08      54.64     328.68    2016.96     395.14    -245.03     347.86       2.32    -792.27
    2154.53      57.62     327.21    2022.22     401.78    -249.19     353.76      10.22    -797.53
    2164.10      61.45     326.64    2027.08     408.69    -253.70     360.05      12.10    -802.39
Begin Pump Tangent                                                                      
    2173.70      62.92     325.59    2031.55     415.74    -258.43     366.60       5.43    -806.87
    2183.27      60.93     324.54    2036.06     422.66    -263.26     373.22       6.88    -811.37
                                                                                        
    2192.75      58.97     323.87    2040.81     429.32    -268.06     379.72       6.47    -816.12
End Pump Tangent                                                                        
    2202.24      58.48     322.46    2045.73     435.81    -272.93     386.23       4.11    -821.04
    2211.70      60.67     320.66    2050.52     442.20    -278.00     392.92       8.51    -825.83
    2221.20      62.04     319.37    2055.08     448.59    -283.36     399.88       5.61    -830.39
    2230.70      64.41     319.35    2059.36     455.02    -288.88     407.02       7.48    -834.67
                                                                                        
    2240.20      66.55     318.20    2063.30     461.52    -294.57     414.34       7.52    -838.61
    2249.65      69.70     318.25    2066.82     468.06    -300.42     421.81      10.00    -842.13
    2259.12      72.54     317.30    2069.88     474.69    -306.44     429.47       9.44    -845.19
    2268.62      74.62     316.57    2072.57     481.35    -312.66     437.34       6.93    -847.88
    2278.24      72.98     315.22    2075.25     487.99    -319.09     445.40       6.52    -850.56
                                                                                        
    2287.74      71.12     314.60    2078.18     494.37    -325.49     453.36       6.16    -853.49
    2297.22      71.45     315.09    2081.22     500.70    -331.86     461.27       1.80    -856.53
    2306.71      74.04     313.98    2084.04     507.05    -338.32     469.28       8.85    -859.35
    2316.32      77.69     313.83    2086.38     513.51    -345.03     477.56      11.40    -861.69
    2325.61      80.59     314.29    2088.13     519.86    -351.58     485.66       9.48    -863.44
                                                                                        
    2335.20      83.29     313.72    2089.48     526.45    -358.41     494.09       8.63    -864.79
    2344.70      85.48     313.93    2090.41     533.00    -365.23     502.50       6.95    -865.72
    2354.19      86.73     311.96    2091.05     539.45    -372.16     510.98       7.36    -866.36
    2363.78      86.76     310.22    2091.60     545.74    -379.38     519.70       5.44    -866.91
Heel                                                                                    
    2373.28      87.55     308.22    2092.07     551.74    -386.73     528.46       6.78    -867.38
                                                                                        
    2382.75      88.21     307.29    2092.42     557.54    -394.21     537.28       3.61    -867.73
    2392.23      89.64     306.16    2092.60     563.20    -401.81     546.19       5.77    -867.91
    2401.64      89.66     305.90    2092.65     568.74    -409.42     555.06        .83    -867.96
    2411.16      88.40     305.82    2092.82     574.31    -417.13     564.05       3.98    -868.13
    2420.75      88.30     305.54    2093.09     579.91    -424.92     573.11        .93    -868.40
                                                                                        
    2430.23      87.55     305.79    2093.43     585.43    -432.62     582.07       2.50    -868.74
    2439.69      88.33     305.28    2093.77     590.92    -440.31     591.01       2.95    -869.08
    2449.17      88.97     304.95    2094.00     596.37    -448.06     600.00       2.28    -869.31
    2458.65      89.95     305.49    2094.09     601.84    -455.81     608.98       3.54    -869.40
                                                                                        
                                                                                        
                                        PAGE - 5                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
                                                                                        
 Measured     Incl       Drift      True                           Vertical    Dogleg     Subsea   
   Depth      Angle    Direction  Vertical      N-S        E-W      Section   Severity      TVD    
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Deg/30m    Meters   
                                                                                        
    2468.11      90.53     305.22    2094.05     607.32    -463.52     617.94       2.03    -869.36
    2477.71      89.93     304.28    2094.01     612.79    -471.41     627.06       3.48    -869.32
    2487.20      89.05     303.56    2094.09     618.08    -479.28     636.13       3.59    -869.40
    2496.75      88.26     303.78    2094.32     623.38    -487.23     645.25       2.58    -869.63
    2506.38      88.11     302.68    2094.62     628.65    -495.28     654.48       3.46    -869.93
                                                                                        
    2515.89      88.29     301.68    2094.92     633.71    -503.33     663.63       3.20    -870.23
    2525.34      88.93     300.93    2095.15     638.62    -511.40     672.77       3.13    -870.46
    2534.98      89.21     300.14    2095.31     643.52    -519.70     682.13       2.61    -870.62
    2544.45      89.82     300.11    2095.39     648.27    -527.89     691.34       1.93    -870.70
