Depth	Gamma
2270.80	112.53
2271.00	112.36
2271.20	112.2
2271.40	113.52
2271.60	112.86
2271.80	113.35
2272.00	112.86
2272.20	110.22
2272.40	109.56
2272.60	110.48
2272.80	111.41
2273.00	112.69
2273.20	114.34
2273.40	114.35
2273.60	113.52
2273.80	115.17
2274.00	113.85
2274.20	113.85
2274.40	113.85
2274.60	113.85
2274.80	112.53
2275.00	112.75
2275.20	112.04
2275.40	112.13
2275.60	113.98
2275.80	115.83
2276.00	115.83
2276.20	116.49
2276.40	117.15
2276.60	113.68
2276.80	111.7
2277.00	108.57
2277.20	107.75
2277.40	107.25
2277.60	109.07
2277.80	109.56
2278.00	111.32
2278.20	111.7
2278.40	111.21
2278.60	110.44
2278.80	108.9
2279.00	107.25
2279.20	117.48
2279.40	117.48
2279.60	111.87
2279.80	118.8
2280.00	121.11
2280.20	116.16
2280.40	120.45
2280.60	115.5
2280.80	117.48
2281.00	115.5
2281.20	117.48
2281.40	111.87
2281.60	117.15
2281.80	113.85
2282.00	112.53
2282.20	114.18
2282.40	112.53
2282.60	110.88
2282.80	110.71
2283.00	108.9
2283.20	112.2
2283.40	114.51
2283.60	115.83
2283.80	112.86
2284.00	117.48
2284.20	117.15
2284.40	120.12
2284.60	117.48
2284.80	124.41
2285.00	120.29
2285.20	116.16
2285.40	115.83
2285.60	118.8
2285.80	121.11
2286.00	122.43
2286.20	122.43
2286.40	121.77
2286.60	121.77
2286.80	122.1
2287.00	121.94
2287.20	122.43
2287.40	121.11
2287.60	123.42
2287.80	125.73
2288.00	122.76
2288.20	123.64
2288.40	123.42
2288.60	122.1
2288.80	121.77
2289.00	125.4
2289.20	126.39
2289.40	114.51
2289.60	110.22
2289.80	109.23
2290.00	113.52
2290.20	99.99
2290.40	106.26
2290.60	110.22
2290.80	103.95
2291.00	101.64
2291.20	101.97
2291.40	105.6
2291.60	98.67
2291.80	93.39
2292.00	100.32
2292.20	99.99
2292.40	93.39
2292.60	90.75
2292.80	90.75
2293.00	90.75
2293.20	96.69
2293.40	90.75
2293.60	89.1
2293.80	95.04
2294.00	98.34
2294.20	95.04
2294.40	92.07
2294.60	96.03
2294.80	92.07
2295.00	93.72
2295.20	92.4
2295.40	96.03
2295.60	94.05
2295.80	90.75
2296.00	96.03
2296.20	95.37
2296.40	95.04
2296.60	96.03
2296.80	100.98
2297.00	98.67
2297.20	98.67
2297.40	98.67
2297.60	95.7
2297.80	92.56
2298.00	89.43
2298.20	91.41
2298.40	89.43
2298.60	90.42
2298.80	89.43
2299.00	83.16
2299.20	88.44
2299.40	90.75
2299.60	93.72
2299.80	99
2300.00	97.02
2300.20	90.42
2300.40	96.69
2300.60	95.7
2300.80	100.32
2301.00	101.97
2301.20	100.98
2301.40	96.69
2301.60	96.03
2301.80	90.09
2302.00	83.82
2302.20	82.17
2302.40	76.89
2302.60	77.22
2302.80	73.92
2303.00	71.61
2303.20	70.95
2303.40	65.67
2303.60	68.64
2303.80	66.99
2304.00	68.31
2304.20	68.31
2304.40	73.26
2304.60	79.86
2304.80	79.86
2305.00	83.49
2305.20	83.49
2305.40	85.47
2305.60	81.51
2305.80	82.5
2306.00	80.19
2306.20	80.52
2306.40	79.2
2306.60	78.54
2306.80	78.87
2307.00	75.24
2307.20	74.91
2307.40	81.51
2307.60	79.2
2307.80	76.56
2308.00	73.26
2308.20	70.95
2308.40	66.66
2308.60	63.36
2308.80	68.31
2309.00	68.64
2309.20	70.62
2309.40	69.3
2309.60	78.54
2309.80	80.52
2310.00	88.77
2310.20	84.48
2310.40	85.14
2310.60	79.2
2310.80	75.24
2311.00	83.82
2311.20	80.85
2311.40	77.55
2311.60	77.55
2311.80	75.57
2312.00	76.89
2312.20	77.22
2312.40	75.24
2312.60	80.85
2312.80	80.19
2313.00	82.17
2313.20	74.91
2313.40	75.57
2313.60	74.25
2313.80	71.61
2314.00	75.24
2314.20	72.6
2314.40	72.27
2314.60	70.95
2314.80	66.99
2315.00	66.99
2315.20	67.32
2315.40	66.66
2315.60	66
2315.80	64.35
2316.00	65.67
2316.20	68.97
2316.40	69.14
2316.60	67.32
2316.80	65.01
2317.00	64.02
2317.20	66.99
2317.40	65.34
2317.60	67.32
2317.80	67.65
2318.00	66
2318.20	65.01
2318.40	63.36
2318.60	63.69
2318.80	63.36
2319.2	61.6
2319.4	61.2
2319.6	61
2319.8	57.6
2320	58.4
2320.2	58.8
2320.4	61.2
2320.6	57.6
2320.8	57.2
2321	59.2
2321.2	61.6
2321.4	59.6
2321.6	59.6
2321.8	60.8
2322	61.73
2322.2	60.4
2322.4	55.6
2322.6	56.4
2322.8	58.4
2323	58.4
2323.2	57.98
2323.4	57.55
2323.6	57.13
2323.8	56.71
2324	56.28
2324.2	55.86
2324.4	55.44
2324.6	55.01
2324.8	57.2
2325	51.6
2325.2	51.6
2325.4	50.4
2325.6	53.2
2325.8	54.8
2326	54.4
2326.2	53.2
2326.4	53.2
2326.6	53.6
2326.8	51.6
2327	52.8
2327.2	53.6
2327.4	51.6
2327.6	54.4
2327.8	50.4
2328	56.8
2328.2	53.6
2328.4	51.2
2328.6	51.6
2328.8	50.4
2329	52.8
2329.2	50
2329.4	52.4
2329.6	51.6
2329.8	50.4
2330	50.4
2330.2	49.7
2330.4	50.7
2330.6	51.6
2330.8	52.4
2331	49.2
2331.2	51.2
2331.4	53.4
2331.6	50.8
2331.8	49.8
2332	48.2
2332.2	47.5
2332.4	48.1
2332.6	48.4
2332.8	47.2
2333	51.2
2333.2	50.4
2333.4	50.8
2333.6	51.6
2333.8	47.2
2334	47.2
2334.2	47.8
2334.4	49
2334.6	50.8
2334.8	49.2
2335	48.4
2335.2	50.8
2335.4	51.8
2335.6	50.4
2335.8	46.4
2336	45.2
2336.2	48.4
2336.4	49.2
2336.6	54.8
2336.8	58.8
2337	53.6
2337.2	57.6
2337.4	54.4
2337.6	54.8
2337.8	59.2
2338	54.8
2338.2	51.2
2338.4	54.8
2338.6	52.8
2338.8	54.8
2339	52.8
2339.2	51.8
2339.4	51.6
2339.6	55.2
2339.8	57.2
2340	57.47
2340.2	56.1
2340.4	53.1
2340.6	52.6
2340.8	55.6
2341	55.2
2341.2	54.4
2341.4	56.4
2341.6	55.2
2341.8	58.4
2342	55.6
2342.2	56.8
2342.4	55.2
2342.6	56.8
2342.8	56.4
2343	58.4
2343.2	58.8
2343.4	54.4
2343.6	55.6
2343.8	54.4
2344	56.8
2344.2	56.4
2344.4	54.8
2344.6	59.2
2344.8	57.2
2345	59.6
2345.2	57.6
2345.4	59.6
2345.6	57.6
2345.8	55.73
2346	54.5
2346.2	53.9
2346.4	54.93
2346.6	57.6
2346.8	59.2
2347	60.13
2347.2	58.8
2347.4	58.4
2347.6	58.4
2347.8	58.67
2348	58.8
2348.2	58.8
2348.4	58.9
2348.6	59.1
2348.8	58.8
2349	58.53
2349.2	58.8
2349.4	58.4
2349.6	58.4
2349.8	57.6
2350	58.4
2350.2	58.8
2350.4	58.53
2350.6	58.6
2350.8	58.4
2351	58.4
2351.2	60.8
2351.4	59.6
2351.6	58.4
2351.8	57.6
2352	61.6
2352.2	56.4
2352.4	58.4
2352.6	61.33
2352.8	61.2
2353	59.2
2353.2	58.8
2353.4	59.2
2353.6	61.2
2353.8	61.6
2354	61.28
2354.2	60.96
2354.4	61.47
2354.6	62.8
2354.8	63.33
2355	63.47
2355.2	63.2
2355.4	63.6
2355.6	60.8
2355.8	60
2356	60
2356.2	60.4
2356.4	61.73
2356.6	62.8
2356.8	63.6
2357	63.47
2357.2	63.33
2357.4	63.2
2357.6	63.49
2357.8	63.26
2358	63.03
2358.2	62.8
2358.4	62.8
2358.6	60.6
2358.8	59.6
2359	59.6
2359.2	59.6
2359.4	61.2
2359.6	62.53
2359.8	63.6
2360	67.2
2360.2	63.6
2360.4	63.2
2360.6	63.2
2360.8	65.6
2361	68.4
2361.2	65.6
2361.4	64.4
2361.6	63.2
2361.8	66.4
2362	63.6
2362.2	63.6
2362.4	67.2
2362.6	67.6
2362.8	62.4
2363	62.2
2363.2	60.8
2363.4	61.6
2363.6	63.2
2363.8	64.8
2364	66.4
2364.2	65.87
2364.4	65.52
2364.6	65.36
2364.8	65.2
2365	65.6
2365.2	66.2
2365.4	66.8
2365.6	66.53
2365.8	65.8
2366	64.4
2366.2	63.47
2366.4	63.2
2366.6	63.2
2366.8	63.2
2367	63.68
2367.2	64.16
2367.4	64.64
2367.6	65.12
2367.8	65.6
2368	66.2
2368.2	65.8
2368.4	66
2368.6	66.4
2368.8	66.4
2369	67.4
2369.2	67.2
2369.4	66.8
2369.6	66.8
2369.8	66.4
2370	64.4
2370.2	65.87
2370.4	66.4
2370.6	67.2
2370.8	66.4
2371	64.4
2371.2	66.8
2371.4	66.8
2371.6	66.8
2371.8	68.4
2372	64.4
2372.2	68.4
2372.4	68.8
2372.6	66.4
2372.8	67.2
2373	68.7
2373.2	68.5
2373.4	68.4
2373.6	69.73
2373.8	69.87
2374	68.8
2374.2	68.11
2374.4	67.43
2374.6	66.74
2374.8	66.6
2375	66.5
2375.2	65.9
2375.4	66.1
2375.6	67.1
2375.8	68.4
2376	69.2
2376.2	70
2376.4	70.6
2376.6	70.8
2376.8	70.93
2377	71.2
2377.2	71.2
2377.4	71.2
2377.6	70.51
2377.8	69.83
2378	69.14
2378.2	67.2
2378.4	67.2
2378.6	67.2
2378.8	69.2
2379	68.4
2379.2	68.4
2379.4	66.8
2379.6	67.6
2379.8	68.8
2380	69.2
2380.2	65.4
2380.4	67.6
2380.6	67.6
2380.8	69.2
2381	65.6
2381.2	66.8
2381.4	65.2
2381.6	64.4
2381.8	66.8
2382	66.4
2382.2	66.93
2382.4	66.8
2382.6	66
2382.8	65.87
2383	66.4
2383.2	66.6
2383.4	66.8
2383.6	66.53
2383.8	66.4
2384	66.4
2384.2	66.4
2384.4	66.4
2384.6	67.6
2384.8	70
2385	70.53
2385.2	69.2
2385.4	70.8
2385.6	72.4
2385.8	72.8
2386	70
2386.2	68
2386.4	67.1
2386.6	66.9
2386.8	66.8
2387	66.8
2387.2	66.8
2387.4	67.07
2387.6	67.6
2387.8	67.6
2388	67.6
2388.2	67.6
2388.4	69.47
2388.6	70.7
2388.8	71.3
2389	70.6
2389.2	71.6
2389.4	69.2
2389.6	68.67
2389.8	68.6
2390	67.6
2390.2	68.8
2390.4	67.6
2390.6	66.27
2390.8	65.6
2391	63.2
2391.2	58.4
2391.4	59.6
2391.6	60.8
2391.8	62.4
2392	64
2392.2	65.6
2392.4	67.2
2392.6	66.08
2392.8	64.96
2393	65.6
2393.2	66.8
2393.4	66.8
2393.6	67.6
2393.8	68.4
2394	69.2
2394.2	69.2
2394.4	69.5
2394.6	70.9
2394.8	71.87
2395	72.4
2395.2	71.03
2395.4	69.66
2395.6	68.29
2395.8	67.6
2396	67.6
2396.2	68
2396.4	68.4
2396.6	71.6
2396.8	68.5
2397	67.9
2397.2	67.2
2397.4	66.4
2397.6	65.6
2397.8	69.2
2398	74.4
2398.2	72.4
2398.4	67.6
2398.6	62.4
2398.8	72.8
2399	71.2
2399.2	64.4
2399.4	63.6
2399.6	63.6
2399.8	63.6
2400	63.6
2400.2	65.2
2400.4	66.8
2400.6	66
2400.8	66
2401	66.8
2401.2	67.6
2401.4	67.6
2401.6	67.6
2401.8	68.08
2402	68.56
2402.2	68.27
2402.4	67.2
2402.6	68
2402.8	68.8
2403	67.73
2403.2	67.2
2403.4	66.8
2403.6	67
2403.8	67.6
2404	68.4
2404.2	69.2
2404.4	69.2
2404.6	70
2404.8	70.8
2405	70.4
2405.2	70.4
2405.4	70.4
2405.6	70
2405.8	69.2
2406	68.48
2406.2	67.84
2406.4	67.2
2406.6	66.2
2406.8	65.6
2407	66.16
2407.2	67.28
2407.4	68.4
2407.6	68.8
2407.8	72.4
2408	70.9
2408.2	69.5
2408.4	66.4
2408.6	65.2
2408.8	65.2
2409	65.6
2409.2	66.4
2409.4	69.6
2409.6	69.6
2409.8	69.6
2410	69.5
2410.2	69.3
2410.4	68.87
2410.6	68.2
2410.8	67.53
2411	68
2411.2	69.6
2411.4	69.87
2411.6	68.8
2411.8	70.4
2412	70.4
2412.2	68.8
2412.4	67.6
2412.6	69.6
2412.8	70.2
2413	70.88
2413.2	71.04
2413.4	71.2
2413.6	71.2
2413.8	70.8
2414	70
2414.2	69.2
2414.4	70.27
2414.6	70.5
2414.8	69.9
2415	69.6
2415.2	69.6
2415.4	70.8
2415.6	70.4
2415.8	70.6
2416	70.67
2416.2	70.4
2416.4	72.27
2416.6	73.6
2416.8	67.2
2417	66.93
2417.2	67.07
2417.4	67.6
2417.6	68.13
2417.8	68.67
2418	69.2
2418.2	69.8
2418.4	70.4
2418.6	70.74
2418.8	71.09
2419	71.43
2419.2	71.6
2419.4	71.6
2419.6	72
2419.8	72.4
2420	72.8
2420.2	73.87
2420.4	74.4
2420.6	74.53
2420.8	74.8
2421	74.4
2421.2	73.6
2421.4	72.8
2421.6	69.87
2421.8	66.8
2422	65.66
2422.2	66.57
2422.4	67.49
2422.6	68.4
2422.8	70.6
2423	72.8
2423.2	72.53
2423.4	72.4
2423.6	72.4
2423.8	72.8
2424	72.8
2424.20	73.60
2424.40	75.07
2424.60	75.60
2424.80	74.80
2425.00	73.73
2425.20	73.10
2425.40	72.90
2425.60	72.72
2425.80	72.56
2426.00	72.40
2426.20	73.73
2426.40	74.20
2426.60	73.80
2426.80	74.80
2427.00	72.00
2427.20	73.60
2427.40	71.20
2427.60	74.40
2427.80	71.20
2428.00	74.80
2428.20	72.40
2428.40	74.40
2428.60	75.60
2428.80	75.60
2429.00	75.60
2429.20	74.40
2429.40	72.80
2429.60	72.53
2429.80	73.00
2430.00	73.47
2430.20	73.20
2430.40	74.53
2430.60	76.20
2430.80	78.20
2431.00	78.50
2431.20	77.10
2431.40	76.40
2431.60	76.40
2431.80	76.40
2432.00	73.40
2432.20	73.60
2432.40	73.60
2432.60	73.60
2432.80	73.07
2433.00	72.60
2433.20	71.47
2433.40	69.60
2433.60	71.47
2433.80	72.69
2434.00	73.26
2434.20	73.83
2434.40	74.40
2434.60	73.87
2434.80	73.50
2435.00	73.30
2435.20	73.20
2435.40	76.40
2435.60	77.20
2435.80	75.40
2436.00	75.60
2436.20	78.00
2436.40	76.80
2436.60	72.40
2436.80	72.40
2437.00	76.40
2437.20	73.60
2437.40	70.80
2437.60	68.40
2437.80	66.53
2438.00	65.20
2438.20	66.91
2438.40	68.63
2438.60	70.34
2438.80	72.27
2439.00	74.40
2439.20	76.60
2439.40	78.80
2439.60	78.80
2439.80	76.67
2440.00	75.00
2440.20	73.47
2440.40	71.60
2440.60	70.40
2440.80	68.90
2441.00	69.10
2441.20	69.20
2441.40	69.20
2441.60	71.37
2441.80	73.54
2442.00	75.71
2442.20	76.93
2442.40	77.20
2442.60	77.36
2442.80	77.52
2443.00	78.20
2443.20	79.00
2443.40	79.60
2443.60	78.40
2443.80	77.20
2444.00	75.90
2444.20	76.50
2444.40	76.13
2444.60	74.80
2444.80	73.27
2445.00	72.60
2445.20	71.93
2445.40	72.53
2445.60	74.40
2445.80	72.80
2446.00	72.80
2446.20	72.80
2446.40	71.60
2446.60	72.40
2446.80	73.07
2447.00	73.60
2447.20	74.13
2447.40	74.80
2447.60	75.60
2447.80	76.13
2448.00	76.20
2448.20	75.80
2448.40	75.40
2448.60	75.20
2448.80	74.80
2449.00	74.60
2449.20	75.00
2449.40	75.20
2449.60	75.20
2449.80	75.20
2450.00	76.53
2450.20	77.36
2450.40	77.68
2450.60	78.00
2450.80	77.73
2451.00	76.40
2451.20	74.00
2451.40	72.40
2451.60	71.60
2451.80	70.80
2452.00	72.80
2452.20	75.60
2452.40	76.50
2452.60	76.70
2452.80	75.20
2453.00	74.20
2453.20	73.20
2453.40	72.13
2453.60	72.56
2453.80	74.48
2454.00	76.40
2454.20	76.88
2454.40	77.36
2454.60	76.40
2454.80	68.60
2455.00	68.40
2455.20	67.60
2455.40	67.60
2455.60	67.60
2455.80	67.12
2456.00	66.64
2456.20	66.57
2456.40	66.91
2456.60	67.26
2456.80	67.60
2457.00	68.48
2457.20	68.64
2457.40	68.80
2457.60	69.87
2457.80	70.60
2458.00	69.20
2458.20	68.13
2458.40	68.00
2458.60	68.60
2458.80	70.00
2459.00	72.40
2459.20	72.80
2459.40	73.20
2459.60	72.93
2459.80	72.67
2460.00	72.40
2460.20	73.20
2460.40	74.67
2460.60	76.80
2460.80	75.60
2461.00	75.33
2461.20	76.80
2461.40	74.67
