Depth	Gamma
2511.8	84.8
2512	81.6
2512.2	81.6
2512.4	81.2
2512.6	84
2512.8	78.8
2513	76.4
2513.2	84
2513.4	79.6
2513.6	78.8
2513.8	81.2
2514	81.6
2514.2	78.6
2514.4	79.8
2514.6	81
2514.8	81.5
2515	81.3
2515.2	80.8
2515.4	80
2515.6	79.2
2515.8	80.4
2516	81.6
2516.2	80.8
2516.4	81.2
2516.6	81.5
2516.8	81.3
2517	81.76
2517.2	82.88
2517.4	84
2517.6	84
2517.8	83.31
2518	82.63
2518.2	81.94
2518.4	81.2
2518.6	80.4
2518.8	79.87
2519	79.6
2519.2	80
2519.4	80.53
2519.6	81
2519.8	81
2520	79.6
2520.2	80.4
2520.4	81.2
2520.6	81.6
2520.8	81.33
2521	82.1
2521.2	83.9
2521.4	84.8
2521.6	84.8
2521.8	87.6
2522	86.27
2522.2	86.27
2522.4	87.6
2522.6	86.8
2522.8	86
2523	84.8
2523.2	85
2523.4	84.4
2523.6	83.6
2523.8	82.8
2524	83.6
2524.2	84.4
2524.4	85.2
2524.6	85.73
2524.8	86.13
2525	86.4
2525.2	86.67
2525.4	86.53
2525.6	86
2525.8	85.2
2526	84.4
2526.2	83.2
2526.4	83.6
2526.6	83.2
2526.8	83.7
2527	84.7
2527.2	85.2
2527.4	85.6
2527.6	84.53
2527.8	83.8
2528	83.4
2528.2	83.03
2528.4	82.69
2528.6	82.34
2528.8	82
2529	81.73
2529.2	82.4
2529.4	84
2529.6	85
2529.8	85.2
2530	85.2
2530.2	86.8
2530.4	84.93
2530.6	82.8
2530.8	79.6
2531	78.2
2531.2	83.2
2531.4	76.4
2531.6	76.8
2531.8	75.6
2532	71.6
2532.2	77.6
2532.4	79.6
2532.6	78.8
2532.8	79.2
2533	83.6
2533.2	81.2
2533.4	80
2533.6	80.64
2533.8	80.32
2534	80
2534.2	81
2534.4	82
2534.6	82.53
2534.8	82.2
2535	81.6
2535.2	81.6
2535.4	81.8
2535.6	82.8
2535.8	83.2
2536	83.6
2536.2	83.4
2536.4	82.2
2536.6	80.27
2536.8	77.6
2537	77.12
2537.2	76.64
2537.4	77.33
2537.6	79.2
2537.8	78.4
2538	76.93
2538.2	74.8
2538.4	76.8
2538.6	76.4
2538.8	78.6
2539	80.53
2539.2	83.2
2539.4	86
2539.6	84.67
2539.8	83.73
2540	83.2
2540.2	80.96
2540.4	78.72
2540.6	77.6
2540.8	81.2
2541	72.8
2541.2	69.2
2541.4	74.8
2541.6	79.2
2541.8	79.6
2542	77.6
2542.2	74.8
2542.4	76.8
2542.6	83.6
2542.8	78
2543	78
2543.2	73.2
2543.4	75.6
2543.6	75.6
2543.8	73.2
2544	72
2544.2	72
2544.4	72.8
2544.6	75
2544.8	75.8
2545	76.2
2545.2	76.4
2545.4	76.4
2545.6	76.6
2545.8	76.8
2546	77
2546.2	77.2
2546.4	75.6
2546.6	74
2546.8	72.4
2547	71.6
2547.2	71.5
2547.4	71.3
2547.6	70.8
2547.8	70.8
2548	72.4
2548.2	76.4
2548.4	77.2
2548.6	77.4
2548.8	77.6
2549	76.8
2549.2	76
2549.4	75.2
2549.6	74.4
2549.8	73.6
2550	72.8
2550.2	72.13
2550.4	71.47
2550.6	70.8
2550.8	72.4
2551	74.53
2551.2	77.2
2551.4	77.6
2551.6	77.87
2551.8	79
2552	79.4
2552.2	78.8
2552.4	77.2
2552.6	77.73
2552.8	78.27
2553	78.8
2553.2	78.4
2553.4	78
2553.6	78.32
2553.8	78.64
2554	79.07
2554.2	79.6
2554.4	78.4
2554.6	77.2
2554.8	75.87
2555	73.6
2555.2	73.6
2555.4	72.6
2555.6	75.2
2555.8	77.47
2556	78.8
2556.2	78.8
2556.4	79.2
2556.6	80
2556.8	78.6
2557	77.2
2557.2	76.67
2557.4	76.8
2557.6	77.6
2557.8	78.4
2558	79.6
2558.2	80
2558.4	81.33
2558.6	81.6
2558.8	80.8
2559	79.6
2559.2	79.73
2559.4	80
2559.6	79.68
2559.8	79.36
2560	78.67
2560.2	77.6
2560.4	77.76
2560.6	77.92
2560.8	76.8
2561	75.6
2561.2	78
2561.4	79.6
2561.6	81.2
2561.8	82.8
2562	82
2562.2	81.33
2562.4	80.8
2562.6	81.6
2562.8	80.8
2563	81.2
2563.2	81.73
2563.4	80.6
2563.6	77.2
2563.8	75.6
2564	76.4
2564.2	76.6
2564.4	76.8
2564.6	78.4
2564.8	80
2565	81.6
2565.2	81.87
2565.4	81.73
2565.6	81.2
2565.8	81.6
2566	81.07
2566.2	80
2566.4	80.2
2566.6	80.8
2566.8	78.67
2567	77.73
2567.2	78
2567.4	77.73
2567.6	77.68
2567.8	77.84
2568	78
2568.2	78.53
2568.4	77.6
2568.6	75.2
2568.8	74.13
2569	76.8
2569.2	76.6
2569.4	76.4
2569.6	77.2
2569.8	78
2570	78
2570.2	74.8
2570.4	71.6
2570.6	76.4
2570.8	78
2571	77.6
2571.2	73.2
2571.4	72.8
2571.6	72.4
2571.8	74.4
2572	76
2572.2	76.8
2572.4	76.8
2572.6	76.8
2572.8	76.8
2573	76.8
2573.2	77.2
2573.4	78
2573.6	78.8
2573.8	79.6
2574	80.6
2574.2	82
2574.4	82.4
2574.6	81.87
2574.8	81.6
2575	80.8
2575.2	80
2575.4	79.2
2575.6	79.6
2575.8	80
2576	80.53
2576.2	81.07
2576.4	81.6
2576.6	81.33
2576.8	81.3
2577	81.5
2577.2	82.4
2577.4	84
2577.6	86
2577.8	86
2578	87.4
2578.2	86
2578.4	83.6
2578.6	83.2
2578.8	81.07
2579	78.8
2579.2	79.2
2579.4	77.6
2579.6	81.2
2579.8	76.4
2580	73.6
2580.2	73.2
2580.4	79.2
2580.6	78.8
2580.8	83.6
2581	81.2
2581.2	80
2581.4	72.4
2581.6	79.2
2581.8	77.8
2582	76.4
2582.2	76.67
2582.4	76
2582.6	74.4
2582.8	72.8
2583	71.2
2583.2	70
2583.4	68.8
2583.6	70.4
2583.8	75.6
2584	76.4
2584.2	77.2
2584.4	77.6
2584.6	77.87
2584.8	78
2585	78
2585.2	78.2
2585.4	78.6
2585.6	78.93
2585.8	79.2
2586	79.7
2586.2	80.2
2586.4	80.7
2586.6	81.2
2586.8	80.13
2587	79.4
2587.2	79
2587.4	77.2
2587.6	75.87
2587.8	76.4
2588	77.6
2588.2	70.4
2588.4	70.4
2588.6	69
2588.8	66.87
2589	65.4
2589.2	63.93
2589.4	62.97
2589.6	62.51
2589.8	62.06
2590	61.6
2590.2	64.6
2590.4	67.6
2590.6	69.6
2590.8	71.6
2591	76.8
2591.2	77.4
2591.4	78
2591.6	80.8
2591.8	80.8
2592	81
2592.2	80.6
2592.4	79.8
2592.6	79.4
2592.8	79.73
2593	80.8
2593.2	80.3
2593.4	79.8
2593.6	79.3
2593.8	78.8
2594	78.8
2594.2	78.4
2594.4	77.6
2594.6	77.3
2594.8	77.5
2595	79.2
2595.2	78
2595.4	77.6
2595.6	80
2595.8	79.6
2596	80.8
2596.2	80.8
2596.4	80.8
2596.6	80.9
2596.8	81.1
2597	82.56
2597.2	85.28
2597.4	88
2597.6	91.8
2597.8	95.6
2598	101.2
2598.2	100.8
2598.4	99.2
2598.6	95.6
2598.8	95.6
2599	101.6
2599.2	96
2599.4	100.8
2599.6	102.4
2599.8	104.8
2600	105.2
2600.2	111.2
2600.4	107.2
2600.6	107.6
2600.8	105.8
2601	106.1
2601.2	107.1
2601.4	108.6
2601.6	109.8
2601.8	111.2
2602	111.2
2602.2	109.8
2602.4	108.4
2602.6	106
2602.8	104.2
2603	102.4
2603.2	102.8
2603.4	103.2
2603.6	104.8
2603.8	106.4
2604	108
2604.2	107.73
2604.4	107.67
2604.6	107.8
2604.8	107.93
2605	108.6
2605.2	108.2
2605.4	107.6
2605.6	108
2605.8	107.8
2606	107.6
2606.2	105.6
2606.4	106
2606.6	106.4
2606.8	104
2607	97.2
2607.2	100.4
2607.4	106.4
2607.6	106.4
2607.8	102
2608	104.4
2608.2	104
2608.4	105.2
2608.6	104
2608.8	101.6
2609	106.4
2609.2	106.4
2609.4	106.8
2609.6	107.2
2609.8	108
2610	106.4
2610.2	106.8
2610.4	107.2
2610.6	107.4
2610.8	107.6
2611	107.26
2611.2	106.91
2611.4	106.57
2611.6	105.6
2611.8	104
2612	103.2
2612.2	103.2
2612.4	103.2
2612.6	104.27
2612.8	106.4
2613	108.4
2613.2	107.6
2613.4	107.6
2613.6	107.6
2613.8	107
2614	106.4
2614.2	104.27
2614.4	104.8
2614.6	106.3
2614.8	106.1
2615	105.9
2615.2	105.7
2615.4	105
2615.6	103.8
2615.8	102.13
2616	100
2616.2	101.6
2616.4	101.6
2616.6	101.6
2616.8	104.6
2617	104.6
2617.2	103.87
2617.4	103.6
2617.6	102.4
2617.8	104.4
2618	104.2
2618.2	105.07
2618.4	106.4
2618.6	106.4
2618.8	105.92
2619	105.44
2619.2	105.4
2619.4	105.8
2619.6	106.2
2619.8	105.73
2620	104.4
2620.2	106
2620.4	107.6
2620.6	106.6
2620.8	105.6
2621	105
2621.2	104.6
2621.4	103.6
2621.6	103.47
2621.8	102.4
2622	102.4
2622.2	102.4
2622.4	102.4
2622.6	101.6
2622.8	102.58
2623	105.33
2623.2	108.09
2623.4	110.84
2623.6	113.6
2623.8	112.93
2624	112.27
2624.2	111.6
2624.4	108.4
2624.6	107.4
2624.8	106
2625	105.2
2625.2	104.4
2625.4	103.5
2625.6	103.3
2625.8	104
2626	105.6
2626.2	103.6
2626.4	104
2626.6	104.4
2626.8	106.4
2627	105.2
2627.2	108
2627.4	108
2627.6	105.2
2627.8	106
2628	101.6
2628.2	102.4
2628.4	102
2628.6	103.73
2628.8	105.47
2629	107.2
2629.2	106.4
2629.4	106.24
2629.6	106.72
2629.8	107.2
2630	108
2630.2	107.2
2630.4	106.2
2630.6	105.2
2630.8	103.4
2631	103.2
2631.2	102.4
2631.4	101.6
2631.6	103.2
2631.8	103.68
2632	103.04
2632.2	102.4
2632.4	104.53
2632.6	105.2
2632.8	104.4
2633	106.53
2633.2	108
2633.4	105.6
2633.6	105.2
2633.8	105.73
2634	105.2
2634.2	104.4
2634.4	105.47
2634.6	105.87
2634.8	105.6
2635	108.6
2635.2	111.6
2635.4	110.53
2635.6	111.6
2635.8	103.8
2636	105.2
2636.2	110
2636.4	105.2
2636.6	107.2
2636.8	106
2637	103.6
2637.2	97.6
2637.4	104
2637.6	104
2637.8	104.4
2638	104.9
2638.2	104.3
2638.4	103.2
2638.6	101.6
2638.8	100
2639	100
2639.2	100.8
2639.4	102.4
2639.6	104
2639.8	103.2
2640	104
2640.2	104.27
2640.4	104
2640.6	105.8
2640.8	106.8
2641	107.6
2641.2	109.2
2641.4	109.87
2641.6	109.6
2641.8	109.33
2642	109.47
2642.2	110
2642.4	110
2642.6	110
2642.8	110
2643	109.2
2643.2	107.6
2643.4	106
2643.6	105.6
2643.8	103.84
2644	102.08
2644.2	96.8
2644.4	93.92
2644.6	91.04
2644.8	93.6
2645	100.8
2645.2	107.6
2645.4	103.2
2645.6	101.6
2645.8	106.4
2646	105.2
2646.2	104.8
2646.4	100.8
2646.6	100.4
2646.8	100
2647	101.07
2647.2	101.6
2647.4	101.6
2647.6	103.6
2647.8	105.2
2648	104.4
2648.2	103.6
2648.4	103.6
2648.6	103.6
2648.8	103
2649	102.4
2649.2	103.04
2649.4	103.68
2649.6	103.3
2649.8	101.9
2650	101.5
2650.2	102.1
2650.4	102.27
2650.6	102
2650.8	102.4
2651	104
2651.2	105.2
2651.4	104.13
2651.6	104
2651.8	104.2
2652	104.5
2652.2	105.5
2652.4	107.2
2652.6	109.6
2652.8	107.87
2653	106.13
2653.2	104.4
2653.4	102.2
2653.6	100
2653.8	100
2654	100.6
2654.2	101.8
2654.4	103.2
2654.6	102.4
2654.8	105.6
2655	97.2
2655.2	100
2655.4	101.6
2655.6	102
2655.8	102.6
2656	99.6
2656.2	102.27
2656.4	104.27
2656.6	105.6
2656.80	104
2657.00	103
2657.20	102.6
2657.40	102.4
2657.60	102.4
2657.80	102.4
2658.00	102.4
2658.20	102.3
2658.40	102.1
2658.60	101.87
2658.80	101.6
2659.00	102.8
2659.20	104
2659.40	103.2
2659.60	103.6
2659.80	105.2
2660.00	104.67
2660.20	103.6
2660.40	103.8
2660.60	104
2660.80	103.6
2661.00	105.2
2661.20	106.8
2661.40	106
2661.60	104
2661.80	103.2
2662.00	102.2
2662.20	101.2
2662.40	102.4
2662.60	103.4
2662.80	102.4
2663.00	102.8
2663.20	103.2
2663.40	103.2
2663.60	104
2663.80	105.8
2664.00	100
2664.20	100.5
2664.40	99.9
2664.60	101
2664.80	102.87
2665.00	103.8
2665.20	104.73
2665.40	105.2
2665.60	105.2
2665.80	105.2
2666.00	105.2
2666.20	103.6
2666.40	102
2666.60	104.13
2666.80	104.6
2667.00	104.8
2667.20	104.6
2667.40	103
2667.60	102
2667.80	101.2
2668.00	101.6
2668.20	99.6
2668.40	101.36
2668.60	103.12
2668.80	103.2
2669.00	101.6
2669.20	100.4
2669.40	99.6
2669.60	98.8
2669.80	100.2
2670.00	101.6
2670.20	100.53
2670.40	99.9
2670.60	99.7
2670.80	98
2671.00	96.8
2671.20	96.27
2671.40	96
2671.60	95
2671.80	94
2672.00	94
2672.20	93.68
2672.40	93.36
2672.60	94.72
2672.80	97.76
2673.00	100.8
2673.20	102.93
2673.40	102
2673.60	98
2673.80	96
2674.00	96
2674.20	94.8
2674.40	93.8
2674.60	95.6
2674.80	94.53
2675.00	94.8
2675.20	97.07
2675.40	100
2675.60	97.2
2675.80	98.8
2676.00	102
2676.20	97.2
2676.40	101.2
2676.60	101.2
2676.80	104
2677.00	103.6
2677.20	105
2677.40	104
2677.60	102
2677.80	100.6
2678.00	99.2
2678.20	97.6
2678.40	97.4
2678.60	98
2678.80	98.27
2679.00	98.8
2679.20	98.8
2679.40	98.8
2679.60	100
2679.80	101.2
2680.00	102.4
2680.20	102.8
2680.40	103.2
2680.60	103.47
2680.80	103.2
2681.00	102.4
2681.20	101.2
2681.40	97.6
2681.60	97.6
2681.80	97.2
2682.00	97.2
2682.20	98
2682.40	98.8
2682.60	99.07
2682.80	98.8
2683.00	95.6
2683.20	93.2
2683.40	94
2683.60	93.6
2683.80	92
2684.00	96
2684.20	97.6
2684.40	97.2
2684.60	98
2684.80	94.8
2685.00	91.2
2685.20	94.93
2685.40	95.2
2685.60	95.47
2685.80	96.2
2686.00	97.3
2686.20	98.3
2686.40	97.8
2686.60	96
2686.80	93.2
2687.00	92
2687.20	91.73
2687.40	92.8
2687.60	93.6
2687.80	93.87
2688.00	94.3
2688.20	94.9
2688.40	95.13
2688.60	95
2688.80	94.87
2689.00	94.53
2689.20	94
2689.40	93.8
2689.60	93.6
2689.80	93.5
2690.00	93.3
2690.20	92.6
2690.40	92.4
2690.60	93.2
2690.80	94
2691.00	91.6
2691.20	91.6
2691.40	91.6
2691.60	91.33
2691.80	90.97
2692.00	90.51
2692.20	90.06
2692.40	89.6
2692.60	91.2
2692.80	87.4
2693.00	81.8
2693.20	81
2693.40	81.4
2693.60	81.2
2693.80	82.8
2694.00	82.8
2694.20	82.8
2694.40	81.47
2694.60	80
2694.80	78.53
2695.00	77.2
2695.20	77.6
2695.40	76
2695.60	74.97
2695.80	74.51
2696.00	74.06
2696.20	73.6
2696.40	76.27
2696.60	79
2696.80	81.8
2697.00	88
2697.20	86
2697.40	87.33
2697.60	87.8
2697.80	87.4
2698.00	85.6
2698.20	82.8
2698.40	81.2
2698.60	79.6
2698.80	78.64
2699.00	77.68
2699.20	77.68
2699.40	78.64
2699.60	79.6
2699.80	83.4
2700.00	87.2
2700.20	85.87
2700.40	86
2700.60	87.6
2700.80	85.6
2701.00	85.2
2701.20	84.8
2701.40	84
2701.60	82
2701.80	81.73
2702.00	80.6
2702.20	84.2
2702.40	89.2
2702.60	87.2
2702.80	88.8
2703.00	86
2703.20	85.6
2703.40	91.6
2703.60	91.2
2703.80	85.6
2704.00	85.6
2704.2	87.6
2704.4	91.6
2704.6	85.2
2704.8	94.8
2705	89.6
2705.2	92
2705.4	85.2
2705.6	90
2705.8	88
2706	90.8
2706.2	96
2706.4	89.2
2706.6	88.8
2706.8	91.2
2707	87.2
2707.2	88
2707.4	91.6
2707.6	88.8
2707.8	87.6
2708	85.2
2708.2	87.6
2708.4	93.6
2708.6	88
2708.8	85.6
2709	87.2
2709.20	87.2
2709.40	87.2
2709.60	88.7
2709.80	90.2
2710.00	91.7
2710.20	93.2
2710.40	92.4
2710.60	90
2710.80	90.8
2711.00	88.8
2711.20	88.8
2711.40	83.6
2711.60	90
2711.80	93.2
2712.00	91.6
2712.20	87.6
2712.40	88
2712.60	88.8
2712.80	85.6
2713.00	86.8
2713.20	84.8
2713.40	89.6
2713.60	86
2713.80	84.8
2714.00	85.6
2714.20	83.2
2714.40	84.8
2714.60	86
2714.80	86
2715.00	86.00
2715.20	87.20
2715.40	90.00
2715.60	90.00
2715.80	88.00
2716.00	89.60
2716.20	88.80
2716.40	88.93
2716.60	86.80
2716.80	84.00
2717.00	83.60
2717.20	90.00
2717.40	91.20
2717.60	86.00
2717.80	83.40
2718.00	85.00
2718.20	86.00
2718.40	86.80
2718.60	86.00
2718.80	83.00
2719.00	84.00
2719.20	80.80
2719.40	82.80
2719.60	79.80
2719.80	81.20
2720.00	82.80
2720.20	80.00
2720.40	75.60
2720.60	76.67
2720.80	77.10
2721.00	76.90
2721.20	77.87
2721.40	80.00
2721.60	79.60
2721.80	78.00
2722.00	79.60
2722.20	80.00
2722.40	78.40
2722.60	76.40
2722.80	79.20
2723.00	78.80
2723.20	83.60
2723.40	79.60
2723.60	73.60
2723.80	75.60
2724.00	79.60
2724.20	80.80
2724.40	78.80
2724.60	78.96
2724.80	79.12
2725.00	79.40
2725.20	78.80
2725.40	78.80
2725.60	80.80
2725.80	76.00
2726.00	72.80
2726.20	72.80
2726.40	77.60
2726.60	78.80
2726.80	80.13
2727.00	80.53
2727.20	80.00
2727.40	80.00
2727.60	81.60
2727.80	83.20
2728.00	83.60
2728.20	86.80
2728.40	83.20
2728.60	83.60
2728.80	80.00
2729.00	79.84
2729.20	79.68
2729.40	78.40
2729.60	78.00
2729.80	77.60
2730.00	78.40
2730.20	79.20
2730.40	79.40
2730.60	80.00
2730.80	79.47
2731.00	81.60
2731.20	81.33
2731.40	80.60
2731.60	79.40
2731.80	76.80
2732	76
2732.2	77.7
2732.4	78.7
2732.6	79.6
2732.8	80.4
2733	81.07
2733.2	81.6
2733.4	82.8
2733.6	82
2733.8	83.6
2734	83.6
2734.2	81.4
2734.4	82
2734.6	82
2734.8	80.6
2735	79.1
2735.2	78.9
2735.4	78
2735.6	76.2
2735.8	75.8
2736	78.2
2736.2	81.6
2736.4	82.8
2736.6	83.2
2736.8	80.8
2737	78.8
2737.2	76.8
2737.4	74.2
2737.6	73.6
2737.8	73.2
2738	74.8
2738.2	76.4
2738.4	80.8
2738.6	83.6
2738.8	76.4
2739	72.8
2739.2	75.2
2739.4	72.8
2739.6	74.4
2739.8	75.6
2740	73.2
2740.2	70.8
2740.4	72.13
2740.6	72.67
2740.8	72.4
2741	72.93
2741.2	72.4
2741.4	76.4
2741.6	75.6
2741.8	72.8
2742	75.6
2742.2	75.2
2742.4	72.4
2742.6	75.2
2742.8	72.4
2743	72.4
2743.2	70.4
2743.4	77.6
2743.6	78.8
2743.8	79.6
2744	79.6
2744.2	77.4
2744.4	75.2
2744.6	78.8
2744.8	79.76
2745	80.72
2745.2	77.2
2745.4	74.53
2745.6	76.8
2745.8	74.8
2746	74.2
2746.2	73.2
2746.4	74.2
2746.6	77.6
2746.8	79.4
2747	78.27
2747.2	76.4
2747.4	78
2747.6	79.2
2747.8	79.4
2748	78.2
2748.2	77.2
2748.4	76.4
2748.6	77.6
2748.8	73.4
2749	70.93
2749.2	69.6
2749.4	72
2749.6	73.6
2749.8	75.2
2750	78
2750.2	78
2750.4	77.9
2750.6	77.7
2750.8	78.8
2751	79.6
2751.2	79.2
2751.4	78
2751.6	77.6
2751.8	78.67
2752	79.47
2752.2	80
2752.4	80.4
2752.6	80.8
2752.8	81.2
2753	84.8
2753.2	83.73
2753.4	83.2
2753.6	82.13
2753.8	80
2754	82
2754.2	83.33
2754.4	83.2
2754.6	82.13
2754.8	82.13
2755	83.2
2755.2	84.8
2755.4	86.4
2755.6	88
2755.8	86.8
2756	86
2756.2	85.2
2756.4	82.8
2756.6	82.8
2756.8	85.2
2757	83.2
2757.2	81.2
2757.4	80.5
2757.6	79.9
2757.8	81.6
2758	84.2
2758.2	85.4
2758.4	85.73
2758.6	85.2
2758.8	85.2
2759	84
2759.2	85.87
2759.4	85.6
2759.6	83.6
2759.8	83.4
2760	83.6
2760.2	85.4
2760.4	87.12
2760.6	86.96
2760.8	86.8
2761	86.96
2761.2	87.12
2761.4	87.2
2761.6	87.2
2761.8	86.8
2762	86
2762.2	86.53
2762.4	86.8
2762.6	85.2
2762.8	85.6
2763	85.07
2763.2	86.8
2763.4	89.6
2763.6	91.2
2763.8	89.92
2764	88.64
2764.2	86.8
2764.4	85.47
2764.6	85.2
2764.8	85.2
2765	86.53
2765.2	88.8
2765.4	86.8
2765.6	88
2765.8	89.2
2766	87.87
2766.2	87.4
2766.4	87.28
2766.6	86.64
2766.8	86
2767	87.1
2767.2	87.7
2767.4	87.2
2767.6	84.8
2767.8	84
2768	84
2768.2	85.6
2768.4	84
2768.6	82
2768.8	82.53
2769	83.4
2769.2	84.6
2769.4	85.33
2769.6	85.6
2769.8	83.6
2770	85.2
2770.20	86.27
2770.40	86.00
2770.60	84.00
2770.80	81.60
2771.00	87.20
2771.20	86.00
2771.40	88.00
2771.60	84.00
2771.80	84.80
2772.00	84.00
2772.20	84.80
2772.40	86.40
2772.60	88.00
2772.80	89.60
2773.00	89.60
2773.20	89.60
2773.40	88.00
2773.60	86.60
2773.80	87.60
2774.00	88.00
2774.20	87.47
2774.40	89.20
2774.60	91.20
2774.80	93.20
2775.00	90.80
2775.20	87.80
2775.40	84.80
2775.60	82.00
2775.80	84.00
2776.00	83.73
2776.20	84.60
2776.40	84.60
2776.60	82.80
2776.80	81.00
2777.00	80.80
2777.20	82.67
2777.40	84.80
2777.60	91.20
2777.80	90.56
2778.00	89.92
2778.20	88.40
2778.40	86.00
2778.60	84.80
2778.80	86.67
2779.00	88.00
2779.20	82.80
2779.40	81.60
2779.60	80.53
2779.80	77.20
2780.00	79.60
2780.20	82.80
2780.40	85.60
2780.60	87.60
2780.80	88.00
2781.00	88.80
2781.20	89.60
2781.40	88.60
2781.60	86.00
2781.80	83.20
2782.00	81.44
2782.20	81.12
2782.40	80.80
2782.60	83.40
2782.80	84.60
2783.00	84.00
2783.20	83.47
2783.40	80.80
2783.60	79.33
2783.80	78.80
2784.00	77.60
2784.20	82.00
2784.40	81.20
2784.60	80.60
2784.80	80.00
2785.00	79.60
2785.20	79.33
2785.40	80.20
2785.60	81.00
2785.80	81.60
2786.00	84.20
2786.20	86.80
2786.40	83.60
2786.60	84.93
2786.80	85.47
2787.00	85.20
2787.20	87.07
2787.40	86.67
2787.60	84.00
2787.80	83.20
2788.00	82.30
2788.20	81.30
2788.40	81.80
2788.60	82.80
2788.80	81.60
2789.00	82.00
2789.20	78.00
2789.40	80.00
2789.60	77.87
2789.80	80.80
2790.00	76.80
2790.20	81.20
2790.40	81.20
2790.60	73.20
2790.80	76.80
2791.00	76.80
2791.20	80.00
2791.40	79.60
2791.60	80.00
2791.80	80.80
2792.00	80.40
2792.20	80.00
2792.40	79.60
2792.60	79.60
2792.80	78.00
2793.00	75.60
2793.20	74.80
2793.40	71.60
2793.60	72.40
2793.80	75.07
2794.00	76.40
2794.20	78.00
2794.40	78.40
2794.60	78.80
2794.80	78.80
2795.00	78.00
2795.20	76.93
2795.40	76.40
2795.60	79.20
2795.80	81.60
2796.00	81.60
2796.20	83.20
2796.40	80.40
2796.60	80.80
2796.80	80.80
2797.00	80.00
2797.20	79.00
2797.40	78.00
2797.60	77.20
2797.80	77.40
2798.00	79.40
2798.20	81.60
2798.40	81.40
2798.60	79.87
2798.80	82.00
2799.00	79.60
2799.20	80.80
2799.40	81.20
2799.60	80.40
2799.80	77.60
2800.00	79.20
2800.20	78.80
2800.40	78.00
2800.60	77.60
2800.80	77.20
2801.00	77.20
2801.20	76.40
2801.40	74.96
2801.60	73.52
2801.80	73.00
2802.00	72.40
2802.20	72.40
2802.40	73.60
2802.60	74.80
2802.80	78.80
2803.00	75.20
2803.20	74.40
2803.40	71.60
2803.60	72.13
2803.80	73.20
2804.00	71.60
2804.20	71.00
2804.40	71.40
2804.60	74.40
2804.80	76.40
2805.00	78.80
2805.20	76.40
2805.40	74.40
2805.60	74.80
2805.80	75.20
2806.00	77.20
2806.20	75.87
2806.40	70.80
2806.60	70.40
2806.80	70.40
2807.00	71.20
2807.20	70.40
2807.40	68.40
2807.60	69.20
2807.80	68.56
2808.00	67.92
2808.20	67.47
2808.40	67.20
2808.60	65.00
2808.80	66.40
2809.00	68.80
2809.20	66.80
2809.40	67.60
2809.60	70.80
2809.80	67.20
2810.00	65.60
2810.20	69.20
2810.40	69.60
2810.60	65.60
2810.80	62.80
2811.00	63.20
2811.20	69.20
2811.40	71.33
2811.60	70.80
2811.80	68.13
2812.00	65.20
2812.20	64.20
2812.40	65.40
2812.60	66.60
2812.80	67.60
2813.00	68.40
2813.20	68.80
2813.40	66.40
2813.60	64.80
2813.80	64.40
2814.00	63.33
2814.20	64.60
2814.40	70.40
2814.60	72.80
2814.80	72.32
2815.00	71.84
2815.20	72.40
2815.40	72.27
2815.60	70.40
2815.80	72.40
2816.00	73.60
2816.20	72.80
2816.40	71.20
2816.60	69.00
2816.80	68.60
2817.00	70.93
2817.20	73.60
2817.40	75.00
2817.60	76.40
2817.80	72.80
2818.00	71.60
2818.20	70.40
2818.40	69.20
2818.60	69.20
2818.80	70.20
2819.00	72.80
2819.20	77.20
2819.40	76.80
2819.60	77.60
2819.80	76.40
2820.00	78.00
2820.20	77.40
2820.40	76.80
2820.60	76.80
2820.80	76.80
2821.00	76.80
2821.20	76.53
2821.40	76.80
2821.60	80.13
2821.80	82.80
2822.00	83.60
2822.20	82.93
2822.40	83.20
2822.60	80.80
2822.80	83.60
2823.00	83.07
2823.20	82.93
2823.40	83.20
2823.60	82.00
2823.80	81.20
2824.00	76.80
2824.20	78.67
2824.40	77.60
2824.60	82.80
2824.80	82.67
2825.00	80.80
2825.20	80.80
2825.40	80.00
2825.60	79.73
2825.80	80.00
2826.00	83.20
2826.20	87.20
2826.40	86.67
2826.60	85.60
2826.80	83.40
2827.00	83.20
2827.20	84.60
2827.40	85.60
2827.60	88.80
2827.80	87.00
2828.00	85.20
2828.20	83.60
2828.40	82.00
2828.60	82.20
2828.80	84.13
2829.00	86.00
2829.20	85.47
2829.40	85.60
2829.60	85.60
2829.80	84.53
2830.00	84.80
2830.20	82.27
2830.40	82.80
2830.60	82.27
2830.80	83.33
2831.00	86.00
2831.20	83.20
2831.40	81.20
2831.60	81.47
2831.80	81.40
2832.00	82.00
2832.20	79.20
2832.40	77.33
2832.60	76.80
2832.80	77.20
2833.00	78.80
2833.20	80.56
2833.40	82.32
2833.60	84.00
2833.80	83.00
2834.00	78.00
2834.20	78.00
2834.40	78.00
2834.60	77.47
2834.80	78.00
2835.00	77.20
2835.20	78.80
2835.40	81.20
2835.60	82.00
2835.80	82.80
2836.00	80.80
2836.20	80.80
2836.40	82.80
2836.60	84.80
2836.80	81.07
2837.00	80.80
2837.20	89.60
2837.40	79.60
2837.60	82.80
2837.80	81.40
2838.00	79.60
2838.20	85.20
2838.40	80.00
2838.60	79.20
2838.80	81.20
2839.00	85.20
2839.20	82.80
2839.40	80.40
