Depth	ROP	Gas
2255.6	3.45	38.99
2255.8	3.36	38.32
2256	3.65	38.21
2256.2	3.65	38.28
2256.4	1.11	38.47
2256.6	1.09	38.53
2256.8	1.05	41.09
2257	1.06	42.46
2257.2	1.38	44.89
2257.4	1.57	48.84
2257.6	1.10	52.64
2257.8	13.39	46.69
2258	13.39	46.67
2258.2	17.54	44.21
2258.4	14.02	45.25
2258.6	8.81	39.72
2258.8	6.15	42.27
2259	5.43	42.87
2259.2	3.89	43.58
2259.4	4.41	46.25
2259.6	3.41	46.46
2259.8	3.23	46.69
2260	3.20	48.76
2260.2	3.18	48.9
2260.4	2.86	48.49
2260.6	3.82	48.5
2260.8	4.75	48.56
2261	3.68	49.1
2261.2	3.38	50.83
2261.4	3.10	50.87
2261.6	3.16	50.96
2261.8	3.47	51.09
2262	3.80	51.97
2262.2	3.90	52.48
2262.4	2.81	54.16
2262.6	2.81	54.26
2262.8	4.98	54.38
2263	4.00	54.38
2263.2	4.43	55.91
2263.4	3.96	55.52
2263.6	2.79	52.78
2263.8	3.49	52.53
2264	3.19	51.88
2264.2	3.61	50.1
2264.4	3.70	49.5
2264.6	3.39	47.18
2264.8	3.34	46.48
2265	3.70	45.18
2265.2	3.12	47.04
2265.4	2.82	64.59
2265.6	4.50	50.74
2265.8	1.24	50.8
2266	1.04	52.64
2266.2	1.04	52.51
2266.4	0.89	52.57
2266.6	0.89	52.61
2266.8	0.89	52.63
2267	0.76	52.64
2267.2	0.74	52.63
2267.4	0.73	52.63
2267.6	4.68	51.04
2267.8	2.19	31.23
2268	2.19	33.56
2268.2	3.00	46.24
2268.4	2.27	48.6
2268.6	1.95	50.48
2268.8	2.18	51.23
2269	1.97	51.43
2269.2	1.97	51.51
2269.4	6.88	51.53
2269.6	1.52	45.5
2269.8	1.04	45.67
2270	1.04	48.79
2270.2	1.04	51.01
2270.4	0.90	54.74
2270.6	0.90	58.36
2270.8	1.24	60.23
2271	1.24	60.81
2271.4	0.81	60.91
2271.6	0.66	62.63
2271.8	0.66	62.7
2272	0.66	62.83
2272.2	0.62	62.94
2272.4	0.62	64.39
2272.6	0.62	64.85
2272.8	0.62	70.9
2273	0.68	81.99
2273.2	0.71	84.57
2273.4	0.71	89.35
2273.6	0.71	32.8
2273.8	0.71	32.79
2274	0.61	32.74
2274.2	0.61	32.71
2274.4	0.65	32.65
2274.6	0.65	32.65
2274.8	0.64	48.26
2275	0.63	69.07
2275.2	0.65	82.21
2275.4	0.65	97.57
2275.6	0.65	110.49
2275.8	0.65	115.94
2276	0.65	122.42
2276.2	0.64	125.8
2276.4	0.64	125.98
2276.6	7.59	127.65
2276.8	2.23	32.91
2277	2.23	32.95
2277.2	2.23	32.96
2277.4	0.67	32.99
2277.6	0.64	33.01
2277.8	0.61	33.03
2278	0.61	33.06
2278.2	0.61	33.07
2278.4	0.61	33.11
2278.6	0.61	33.12
2278.8	0.61	33.19
2279	0.61	33.21
2279.2	0.57	33.68
2279.4	0.58	34.22
2279.6	0.58	34.65
2279.8	0.60	39.32
2280	0.60	39.87
2280.2	0.60	40.11
2280.4	0.56	44.4
2280.6	0.56	44.55
2280.8	0.59	46.99
2281.2	0.62	47.23
2281.6	0.64	47.78
2282	0.64	47.9
2282.2	0.64	48
2282.4	0.63	48.13
2282.6	0.65	49.85
2282.8	0.64	52.46
2283	0.63	55.13
2283.2	0.71	55.97
2283.4	0.85	57.72
2283.6	0.85	57.94
2283.8	0.85	58.07
2284	0.85	58.13
2284.2	0.85	62.5
2284.6	0.62	68.81
2285	0.65	81.94
2285.2	0.67	83.22
2285.4	0.67	84.92
2285.6	0.64	84.96
2285.8	0.57	85.08
2286	0.57	85.09
2286.2	0.56	84.7
2286.4	0.56	84.69
2286.6	0.56	84.6
2286.8	0.56	75.81
2287	0.80	74.14
2287.4	0.69	74.03
2287.6	0.67	71.84
2287.8	0.67	71.83
2288	0.66	74.33
2288.2	0.66	74.82
2288.4	0.65	75.38
2288.6	0.65	77.09
2288.8	0.69	79.2
2289	0.68	82.19
2289.2	0.66	87.94
2289.4	0.66	89.8
2289.6	0.65	77.19
2289.8	0.65	112.85
2290	0.65	123.43
2290.2	0.64	148.84
2290.4	0.64	154.92
2290.6	0.64	155.25
2290.8	0.64	164.9
2291	0.63	174.55
2291.2	0.63	180.21
2291.4	0.63	187.01
2291.6	0.62	190.7
2291.8	0.61	192.6
2292	0.60	192.78
2292.2	0.61	192.97
2292.4	0.61	193.03
2292.6	0.66	193.04
2292.8	0.66	192.62
2293	0.65	192.6
2293.2	0.65	191.01
2293.6	0.67	190.96
2293.8	0.67	186.73
2294	0.75	175.86
2294.2	0.88	172.14
2294.4	0.90	169.24
2294.6	0.90	148.93
2294.8	0.87	122.88
2295	0.84	109.03
2295.2	0.80	101.32
2295.4	0.79	74.8
2295.6	0.80	97.27
2295.8	4.11	33.83
2296	1.79	33.84
2296.2	1.12	33.84
2296.4	10.66	33.74
2296.6	12.88	33.94
2296.8	11.93	34.24
2297	5.49	33.53
2297.2	4.06	33.56
2297.4	2.99	33.58
2297.6	3.64	33.61
2297.8	4.53	33.23
2298	4.07	33.22
2298.2	5.65	33.12
2298.4	3.81	32.65
2298.6	4.08	32.93
2298.8	8.75	32.82
2299	3.74	32.51
2299.2	3.02	32.52
2299.4	2.50	32.51
2299.6	2.50	32.51
2299.8	3.19	32.48
2300	4.25	32.47
2300.2	2.40	32.85
2300.4	2.96	32.83
2300.6	3.53	32.78
2300.8	2.72	32.81
2301	3.50	32.88
2301.2	3.50	32.91
2301.4	3.60	32.94
2301.6	2.32	32.94
2301.8	2.48	32.95
2302	2.53	32.55
2302.2	2.51	32.1
2302.4	2.67	32.11
2302.6	3.28	32.85
2302.8	1.86	32.84
2303	1.74	32.86
2303.2	1.66	32.86
2303.4	1.46	32.87
2303.6	1.29	32.9
2303.8	1.23	32.93
2304	1.23	32.94
2304.2	1.28	32.96
2304.4	1.28	32.97
2304.6	1.26	33.01
2304.8	1.26	33.01
2305	1.08	33.03
2305.2	1.08	33.13
2305.4	1.05	34.77
2305.6	1.05	24.4
2305.8	3.60	43.1
2306	9.13	43.51
2306.2	12.55	43.71
2306.4	13.92	46.26
2306.6	5.57	46.45
2306.8	11.76	49.84
2307	11.56	51.63
2307.2	9.92	51.84
2307.4	5.19	53.56
2307.6	5.87	55.04
2307.8	11.28	64.65
2308	11.88	57.84
2308.2	6.06	45.26
2308.4	4.07	38.57
2308.6	4.74	48.84
2308.8	4.12	50.88
2309	5.85	51.25
2309.2	4.16	51.43
2309.4	8.36	53.21
2309.6	3.51	53.31
2309.8	5.22	54.65
2310	3.37	56.47
2310.2	5.71	57.93
2310.4	3.91	58.54
2310.6	3.97	58.66
2310.8	4.75	60.47
2311	4.60	60.64
2311.2	4.35	60.65
2311.4	4.64	60.62
2311.6	5.12	61.8
2311.8	4.39	63.52
2312	5.58	63.11
2312.2	3.80	60.84
2312.4	4.03	60.16
2312.6	5.57	74.53
2312.8	2.28	76.38
2313	3.50	78.45
2313.2	2.63	78.56
2313.4	2.18	76.47
2313.6	2.04	75.89
2313.8	1.48	75.33
2314	1.31	70.65
2314.2	1.20	66.83
2314.4	1.19	64.16
2314.6	1.16	61.49
2314.8	1.65	50.13
2315.2	14.08	54.27
2315.4	13.02	64.26
2315.6	11.83	77.14
2315.8	8.06	82.34
2316	8.17	91.75
2316.2	5.97	99.37
2316.4	5.72	109.22
2316.6	4.81	115.62
2316.8	4.18	126.25
2317	6.54	130.86
2317.2	5.42	137.68
2317.4	4.46	143.33
2317.6	4.06	144.55
2317.8	4.35	165.52
2318	3.61	168.08
2318.2	3.75	170.83
2318.4	4.48	173.2
2318.6	4.11	176.18
2318.8	5.98	178.88
2319	3.76	66.95
2319.2	3.65	183.05
2319.4	3.58	185.23
2319.6	4.45	185.37
2319.8	3.74	186.95
2320	3.98	186.84
2320.2	3.43	187.48
2320.4	4.09	194.85
2320.6	4.19	203.45
2320.8	3.38	209.84
2321	3.81	211.97
2321.2	3.75	211.46
2321.4	3.99	210.61
2321.6	3.99	384.55
2321.8	2.05	425.02
2322	2.07	455.47
2322.2	2.00	468.97
2322.4	2.02	478.85
2322.6	2.07	483.28
2322.8	1.99	482.75
2323	1.99	480.65
2323.2	1.94	456.51
2323.4	1.82	434.15
2323.6	1.84	397.01
2323.8	1.90	357.77
2324	1.90	314.78
2324.2	1.86	292.99
2324.4	1.75	270.24
2324.6	1.75	156.28
2324.8	166.67	167.91
2325	6.26	174.82
2325.2	6.17	184.35
2325.4	6.77	187
2325.6	6.44	191.23
2325.8	7.17	152.11
2326	6.64	176.96
2326.2	6.69	201.87
2326.4	5.94	212.41
2326.6	5.59	215.26
2326.8	5.87	216.6
2327	5.05	233.8
2327.2	5.45	238.14
2327.4	5.15	240.41
2327.6	5.17	242.27
2327.8	4.56	242.22
2328	5.20	247.05
2328.2	5.15	259.9
2328.4	5.57	272.95
2328.6	4.57	293.9
2328.8	4.19	322.68
2329	5.92	329.73
2329.2	5.45	334.3
2329.4	4.34	337.05
2329.6	5.06	337.03
2329.8	5.55	323.77
2330	4.80	291.41
2330.2	3.49	965.24
2330.4	1.54	989.19
2330.6	1.67	996.67
2330.8	1.64	1013.47
2331	1.59	1043.26
2331.2	1.56	1047.62
2331.4	1.55	1049.6
2331.6	1.57	1053.02
2331.8	1.68	1065.2
2332	2.06	1071.05
2332.2	2.10	1071.11
2332.4	2.26	1065.69
2332.6	2.61	1036.17
2332.8	2.07	960.06
2333	2.51	896.77
2333.2	2.50	819.63
2333.4	3.53	464.62
2333.6	7.49	435.86
2333.8	7.49	435.78
2334	1.45	433.62
2334.2	2.76	425.75
2334.4	2.03	363.11
2334.6	1.98	347.18
2334.8	4.87	312.31
2335	4.78	130.95
2335.2	5.00	123.54
2335.4	9.36	116.44
2335.6	7.00	103.94
2335.8	7.00	79.65
2336	4.94	60.72
2336.2	1.86	50.48
2336.4	8.00	55.84
2336.6	9.38	53.45
2336.8	7.50	53.46
2337	5.70	55.79
2337.2	5.01	56.12
2337.4	3.92	56.95
2337.6	3.60	59.32
2337.8	3.65	61.27
2338	4.16	63.58
2338.2	3.95	65.53
2338.4	3.82	65.71
2338.6	3.45	67.89
2338.8	3.60	68.64
2339	3.26	68.75
2339.2	3.76	68.75
2339.4	3.38	70.34
2339.6	3.48	70.38
2339.8	3.44	46.95
2340	2.97	60.53
2340.2	2.53	69.17
2340.4	2.79	73.6
2340.6	2.60	78.79
2340.8	2.45	82.55
2341	10.67	166.67
2341.2	4.95	167.24
2341.4	1.56	104.86
2341.6	1.07	133.94
2341.8	0.60	163.72
2342	0.60	157.03
2342.2	1.42	155.25
2342.4	1.40	147.98
2342.6	1.10	139.79
2342.8	1.10	134.8
2343	0.86	126.38
2343.2	0.92	118.96
2343.4	0.93	130.57
2343.6	0.89	129.16
2343.8	1.51	85.55
2344	3.99	82.7
2344.2	1.93	81.68
2344.4	1.93	79.48
2344.6	1.88	79.22
2344.8	1.63	78.55
2345	1.63	76.43
2345.2	1.46	76.36
2345.4	1.60	76.31
2345.6	1.60	76.34
2345.8	1.61	76.39
2346	1.61	76.43
2346.2	1.40	78.61
2346.4	1.42	78.66
2346.6	1.61	78.73
2346.8	1.77	78.87
2347	1.81	81.39
2347.2	1.55	81.56
2347.4	1.26	82.28
2347.6	3.04	85.03
2347.8	1.85	87.23
2348	1.83	87.92
2348.2	2.60	90.14
2348.4	2.78	90.86
2348.6	2.26	93.16
2348.8	2.19	96.01
2349	2.64	98.86
2349.2	2.58	101.17
2349.4	2.21	104.07
2349.6	2.19	106.97
2349.8	1.91	90.68
2350	1.78	78
2350.2	1.63	76.59
2350.4	1.63	105.22
2350.6	1.26	148.93
2350.8	0.88	192.92
2351	0.87	192.92
2351.2	0.87	192.92
2351.4	0.87	192.92
2351.6	0.87	192.92
2351.8	8.14	190.01
2352	2.54	101.18
2352.2	6.43	95.83
2352.4	4.33	89.5
2352.6	4.71	81.4
2352.8	6.53	78.44
2353	7.51	75.34
2353.2	4.94	68.84
2353.4	5.19	69.01
2353.6	4.12	69.15
2353.8	4.52	69.74
2354	4.01	69.79
2354.2	3.72	69.88
2354.4	4.05	72.52
2354.6	3.75	72.78
2354.8	3.24	72.98
2355	3.08	86.81
2355.2	2.67	89.62
2355.4	3.00	92.39
2355.6	2.66	94.57
2355.8	2.66	94.69
2356	1.75	94.72
2356.2	0.92	94.75
2356.4	0.92	95.26
2356.6	0.64	95.33
2356.8	0.64	95.44
2357	0.64	95.45
2357.2	0.70	95.57
2357.4	0.70	97.66
2357.6	0.70	97.7
2357.8	0.70	98.34
2358	0.70	98.41
2358.2	0.71	98.55
2358.4	0.75	103.21
2358.6	0.75	103.29
2358.8	0.71	103.41
2359	0.71	105.49
2359.2	0.73	108.21
2359.4	0.72	109.61
2359.6	0.71	111
2359.8	0.69	111.16
2360	0.69	112.68
2360.2	0.70	114.21
2360.4	0.71	116.9
2360.6	0.70	126.18
2360.8	0.70	128.34
2361	0.69	131.16
2361.2	0.69	133.73
2361.4	0.70	136.3
2361.6	0.71	140.69
2361.8	2.11	151.06
2362	1.21	145.56
2362.2	3.40	143.2
2362.4	10.90	135.94
2362.6	5.74	106.91
2362.8	4.63	94.95
2363	2.75	97.52
2363.2	1.99	97.85
2363.4	2.03	101.04
2363.6	2.03	109.09
2363.8	1.42	114.35
2364	2.15	115.28
2364.2	1.59	119.3
2364.4	1.92	120.48
2364.6	4.24	141.79
