Depth	ROP	Gas
2831.8	0.73	98.04
2832	0.73	98.03
2832.2	0.73	98.02
2832.4	0.73	98
2832.6	0.71	95.48
2832.8	0.71	94.87
2833	0.72	94.83
2833.2	0.72	94.8
2833.4	0.72	94.77
2833.6	0.72	94.76
2833.8	0.72	92.32
2834	0.72	92.23
2834.2	0.77	92.21
2834.4	0.78	91.72
2834.6	0.79	91.45
2834.8	0.76	91.37
2835	0.74	88.52
2835.2	0.74	88.23
2835.4	0.77	88.07
2835.6	0.76	88.03
2835.8	0.76	88.03
2836	0.76	85.67
2836.2	0.80	85.32
2836.4	0.80	85.27
2836.6	0.80	84.65
2836.8	0.80	82.21
2837	0.80	82.1
2837.2	0.79	82
2837.4	0.79	81.95
2837.6	0.80	90
2837.8	0.80	90.22
2838	0.80	92.62
2838.2	0.77	92.74
2838.4	0.77	92.82
2838.6	0.77	92.88
2838.8	0.77	92.91
2839	0.79	93.05
2839.2	0.81	93.06
2839.4	0.76	93.05
2839.6	0.76	93.07
2839.8	0.66	95.46
2840	0.66	95.54
2840.2	0.72	95.63
2840.4	0.74	95.72
2840.6	0.71	95.75
2840.8	0.71	95.76
2841	0.73	95.73
2841.2	0.73	95.73
2841.4	0.80	95.63
2841.6	0.80	95.58
2841.8	0.80	95.56
2842	0.71	95.59
2842.2	0.71	95.61
2842.4	0.71	95.65
2842.6	0.81	95.66
2842.8	0.81	95.68
2843	0.81	95.63
2843.2	0.76	95.14
2843.4	0.70	92.81
2843.6	0.72	92.76
2843.8	0.75	92.77
2844	0.75	92.73
2844.2	0.75	92.66
2844.4	0.75	92.65
2844.6	0.80	92.62
2844.8	0.79	92.53
2845	0.79	91.97
2845.2	0.72	91.92
2845.4	0.74	89.44
2845.6	0.79	89.18
2845.8	0.77	89.14
2846	0.74	86.24
2846.2	0.74	83.72
2846.4	0.74	83.57
2846.6	0.74	83.42
2846.8	0.81	83.35
2847	1.94	62.16
2847.2	0.97	62.22
2847.4	0.97	62.96
2847.6	2.12	65.6
2847.8	2.36	65.77
2848	2.40	66.5
2848.2	2.57	69.84
2848.4	1.97	70.05
2848.6	2.99	72.69
2848.8	2.13	73.48
2849	6.20	90.61
2849.2	2.14	48.56
2849.4	2.13	45.74
2849.6	2.13	45.12
2849.8	0.72	45.04
2850	0.58	44.97
2850.2	0.56	44.98
2850.4	0.56	48.45
2850.6	0.60	54.43
2850.8	0.64	57.81
2851	0.75	69.19
2851.2	0.77	71.91
2851.4	0.77	75.1
2851.6	0.65	75.87
2851.8	0.65	76.12
2852	0.70	78.8
2852.2	0.73	79.07
2852.4	0.71	79.21
2852.6	0.71	79.35
2852.8	0.67	79.62
2853	0.68	79.7
2853.2	0.70	79.78
2853.4	0.71	79.83
2853.6	0.70	79.84
2853.8	0.77	79.84
2854	0.77	79.85
2854.2	0.67	79.86
2854.4	0.67	79.87
2854.6	0.70	79.38
2854.8	0.72	79.37
2855	0.73	79.34
2855.2	0.73	79.28
2855.4	0.73	79.26
2855.6	0.73	79.23
2855.8	0.72	79.16
2856	0.73	79.1
2856.2	0.72	78.56
2856.4	0.72	78.44
2856.6	0.73	78.41
2856.8	0.73	75.5
2857	0.74	75.41
2857.2	0.73	75.26
2857.4	10.21	69.05
2857.6	1.13	68.99
2857.8	1.33	69.03
2858	1.91	69.13
2858.2	1.95	69.31
2858.4	2.49	69.99
2858.6	2.63	72.57
2858.8	4.75	73.3
2859	2.35	73.47
2859.2	3.39	80.76
2859.4	1.30	80.91
2859.6	1.27	80.96
2859.8	0.80	80.96
2860	0.79	83.37
2860.2	0.79	83.45
2860.4	0.64	83.47
2860.6	0.64	83.47
2860.8	0.64	83.47
2861	0.64	83.47
2861.2	0.64	83.38
2861.4	0.64	83.33
2861.6	0.70	83.25
2861.8	0.70	83.25
2862	0.70	83.21
2862.2	0.70	83.14
2862.4	0.70	83.06
2862.6	0.70	82.99
2862.8	0.70	82.71
2863	0.70	82.42
2863.2	0.68	81.21
2863.4	0.65	79.99
2863.6	0.65	79.81
2863.8	0.65	79.75
2864	0.65	79.63
2864.2	0.64	54.59
2864.4	0.64	53.85
2864.6	0.64	53.15
2864.8	0.65	33.85
2865	0.65	49.48
2865.2	0.65	49.74
2865.4	0.65	49.66
2865.6	0.65	49.62
2865.8	0.61	50.14
2866	0.61	53
2866.2	0.63	53.2
2866.4	0.63	64.87
2866.6	0.63	65.2
2866.8	0.90	65.8
2867	4.86	66.01
2867.2	3.19	66.13
2867.4	2.77	66.21
2867.6	2.78	69.34
2867.8	3.81	69.65
2868	2.81	72.75
2868.2	8.50	82.62
2868.4	2.99	82.9
2868.6	1.14	82.9
2868.8	1.09	83.43
2869	0.88	83.46
2869.2	0.66	83.48
2869.4	0.65	83.49
2869.6	0.65	83.49
2869.8	0.57	83.5
2870	0.64	83.53
2870.2	0.72	83.57
2870.4	0.72	83.81
2870.6	0.72	84.06
2870.8	0.72	84.08
2871	0.62	84.02
2871.2	0.62	83.94
2871.4	0.62	83.87
2871.6	0.66	83.82
2871.8	0.66	83.26
2872	0.68	83.24
2872.2	0.68	83.22
2872.4	0.68	83.2
2872.6	0.68	83.16
2872.8	0.68	83.12
2873	0.68	83.1
2873.2	0.68	83.1
2873.4	0.68	83.09
2873.6	0.65	83.03
2873.8	0.67	83.03
2874	0.67	83.04
2874.2	0.67	83.1
2874.4	0.66	83.14
2874.6	0.65	83.24
2874.8	0.65	83.27
2875	0.65	83.3
2875.2	0.65	83.42
2875.4	0.65	83.97
2875.6	0.67	86.44
2875.8	0.67	86.57
2876	0.67	87.14
2876.2	0.67	87.18
2876.4	0.65	87.29
2876.6	0.64	95.79
2876.8	1.99	96.24
2877	2.04	98.58
2877.2	2.04	98.71
2877.4	0.76	98.77
2877.6	0.71	98.81
2877.8	0.71	98.84
2878	0.61	98.89
2878.2	0.68	98.91
2878.4	0.68	97.75
2878.6	0.68	96.55
2878.8	0.68	96.21
2879	0.68	95.91
2879.2	0.67	95.84
2879.4	0.67	93.42
2879.6	0.67	106.91
2879.8	0.71	93.25
2880	0.71	92.55
2880.2	0.71	90.24
2880.4	0.68	90.06
2880.6	0.68	90.04
2880.8	0.68	90.02
2881	0.67	89.91
2881.2	0.65	89.79
2881.4	0.66	88.27
2881.6	0.68	86.69
2881.8	0.68	86.38
2882	0.67	86.29
2882.2	0.65	83.92
2882.4	0.66	83.21
2882.6	0.66	82.53
2882.8	0.75	82.46
2883	0.75	79.59
2883.2	0.71	79.37
2883.4	0.65	79.19
2883.6	0.66	76.74
2883.8	0.66	76.58
2884	0.66	76.47
2884.2	0.67	76.43
2884.4	0.67	73.46
2884.6	0.69	73.23
2884.8	0.69	73.13
2885	0.72	73.06
2885.2	0.72	70.68
2885.4	2.99	69.91
2885.6	3.10	62.09
2885.8	1.04	50.21
2886	4.45	49.25
2886.2	3.79	53.28
2886.4	4.45	57.53
2886.6	3.20	68.28
2886.8	4.44	73.54
2887	3.41	103.88
2887.2	4.17	87
2887.4	4.32	91.89
2887.6	2.36	105.13
2887.8	1.03	105.84
2888	0.80	105.84
2888.2	0.79	105.82
2888.4	0.79	105.79
2888.6	0.79	105.74
2888.8	0.71	105.73
2889	0.74	105.13
2889.2	0.75	105.06
2889.4	0.75	102.77
2889.6	0.75	102.6
2889.8	0.75	102.54
2890	0.67	102.5
2890.2	0.67	101.96
2890.4	0.67	99.55
2890.6	0.67	98.84
2890.8	0.70	98.72
2891	0.71	97.92
2891.2	0.73	97.08
2891.4	0.73	94.57
2891.6	0.73	92.09
2891.8	0.67	91.9
2892	0.67	91.84
2892.2	0.63	91.62
2892.4	0.63	91.53
2892.6	0.63	89.19
2892.8	0.63	88.93
2893	0.64	88.78
2893.2	0.65	88.63
2893.4	0.65	88.01
2893.6	0.65	85.67
2893.8	0.65	85.44
2894	0.65	85.35
2894.2	0.65	85.31
2894.4	0.65	83
2894.6	0.65	82.81
2894.8	0.58	82.75
2895	0.57	82.67
2895.2	0.57	82.59
2895.4	5.92	82.01
2895.6	2.45	58.54
2895.8	1.32	54.22
2896	7.62	73.21
2896.2	4.36	81.63
2896.4	4.31	93.98
2896.6	4.41	115.7
2896.8	2.78	117.27
2897	1.17	117.33
2897.2	1.07	117.8
2897.4	1.07	119.85
2897.6	1.07	120
2897.8	0.62	120.52
2898	0.59	120.59
2898.2	0.66	120.63
2898.4	0.66	120.63
2898.6	0.66	120.62
2898.8	0.63	120.13
2899	0.63	117.83
2899.2	0.59	117.67
2899.4	0.59	117.63
2899.6	0.62	117.58
2899.8	0.63	117.53
2900	0.65	117.48
2900.2	0.67	117.41
2900.4	0.67	116.01
2900.6	0.67	114.52
2900.8	0.67	114.36
2901	0.61	114.22
2901.2	0.61	111.92
2901.4	0.62	111.71
2901.6	0.62	110.32
2901.8	0.61	108.83
2902	0.64	108.66
2902.2	0.66	108.51
2902.4	0.66	108.43
2902.6	0.67	107.25
2902.8	0.68	105.99
2903	0.72	105.77
2903.2	0.72	104.33
2903.4	0.72	102.8
2903.6	0.72	102.12
2903.8	0.67	101.97
2904	0.63	99.67
2904.2	0.62	99.46
2904.4	2.31	86.42
2904.6	1.36	86.4
2904.8	1.37	86.49
2905	2.43	86.44
2905.2	3.78	86.46
2905.4	2.56	86.59
2905.6	3.00	86.65
2905.8	3.72	89.4
2906	4.63	90.17
2906.2	4.52	90.85
2906.4	7.80	117.48
2906.6	1.61	117.55
2906.8	0.92	117.6
2907	0.92	117.6
2907.2	0.92	117.68
2907.4	0.92	117.7
2907.6	0.57	117.72
2907.8	0.57	117.8
2908	0.67	120.71
2908.4	0.67	120.74
2908.6	0.65	118.35
2908.8	0.63	118.34
2909	0.60	118.31
2909.2	0.62	118.29
2909.4	0.63	118.2
2909.6	0.63	118.14
2909.8	0.63	117.55
2910.2	0.63	117.49
2910.4	0.63	114.88
2910.6	0.63	108.95
2910.8	0.65	106.39
2911	0.65	96.5
2911.2	0.65	87.48
2911.4	0.65	77.51
2911.6	0.65	73.89
2911.8	0.65	73.3
2912	0.65	72.58
2912.2	0.64	70.05
2912.4	0.64	69.98
2912.8	0.65	69.7
2913.2	0.65	63.81
2913.4	0.64	63.71
2913.6	0.65	62.99
2913.8	0.65	62.96
2914	0.65	62.9
2914.2	0.65	62.81
2914.4	0.65	66.81
2914.6	0.65	66.76
2914.8	1.25	66.71
2915	8.04	66.14
2915.2	4.97	66.13
2915.4	6.19	65.18
2915.6	7.84	65.04
2915.8	5.87	62.48
2916	5.89	62.69
2916.2	4.14	65.46
2916.4	4.32	70.57
2916.6	4.32	46.25
2916.8	1.43	47.26
2917	1.03	52.24
2917.2	0.73	59.16
2917.4	0.63	67.33
2917.8	0.61	72.79
2918	0.63	76.16
2918.2	0.67	76.39
2918.4	0.71	77.61
2918.6	0.71	77.95
2919	0.71	80.95
2919.2	0.67	81.13
2919.4	0.67	81.25
2919.6	0.67	81.43
2919.8	0.67	83.88
2920	0.67	84.54
2920.2	0.67	84.72
2920.4	0.67	84.81
2920.6	0.67	84.83
2920.8	0.70	84.91
2921	0.70	85
2921.2	0.65	87.52
2921.4	0.66	87.56
2921.6	0.68	87.57
2921.8	0.68	87.6
2922.2	0.70	87.64
2922.4	0.69	85.23
2922.6	0.68	85.22
2922.8	0.67	84.72
2923	0.67	84.71
2923.2	0.69	84.68
2923.4	6.62	84.57
2923.6	2.40	59.23
2923.8	0.95	56.8
2924	1.45	56.75
2924.2	2.15	56.74
2924.4	2.86	56.59
2924.6	4.36	56.47
2924.8	4.03	56.49
2925	2.85	56.48
2925.2	2.90	56.56
2925.4	4.13	59.79
2925.6	2.45	71.45
2925.8	2.45	74.49
2926	1.06	74.58
2926.2	0.74	74.69
2926.4	0.60	75.36
2926.6	0.58	75.4
2926.8	0.60	77.97
2927	0.60	78
2927.2	0.64	78.1
2927.4	0.64	78.1
2927.6	0.64	78.1
2927.8	0.63	80.5
2928.2	0.61	80.5
2928.4	0.59	80.5
2928.6	0.58	80.5
2928.8	0.58	80.5
2929	0.58	80.5
2929.4	0.58	80.5
2929.8	0.58	80.5
2930	0.58	80.5
2930.2	0.58	80.5
2930.4	0.59	80.5
2930.6	0.58	80.5
2930.8	0.58	80.5
2931	0.58	80.5
2931.2	0.56	80.5
2931.4	0.56	80.5
2931.6	0.56	78.1
2931.8	0.56	78.1
2932	0.56	78.1
2932.2	0.62	77.6
2932.4	0.62	77.6
2932.8	0.59	77.6
2933	0.59	77.6
2933.2	0.59	77.6
2933.4	0.56	77.6
2933.6	2.50	51.95
2933.8	2.50	51.95
2934	2.50	51.98
2934.2	2.48	52.06
2934.4	6.44	52.06
2934.6	2.86	52.12
2934.8	7.00	52.14
2935	2.69	52.08
2935.2	2.92	52.05
2935.4	3.00	52.06
2935.6	4.37	52.05
2935.8	15.11	969.29
2936	2.92	352.53
2936.2	2.58	120.28
2936.4	2.29	74.83
2936.6	2.29	77.72
2936.8	1.04	77.72
2937	0.75	77.72
2937.2	0.62	77.72
2937.4	0.62	77.72
2937.6	0.55	77.72
2937.8	0.55	77.72
2938	0.55	77.72
2938.2	0.62	77.72
2938.4	0.61	77.72
2938.6	0.59	77.72
2938.8	0.59	77.72
2939	0.53	77.72
2939.2	0.52	77.72
2939.4	0.52	77.72
2939.6	0.52	77.72
2939.8	0.52	77.72
2940	0.55	77.72
2940.2	0.55	77.72
2940.4	0.55	77.72
2940.6	0.55	77.72
2940.8	0.57	77.72
2941.2	0.57	75.32
2941.6	0.55	74.82
2941.8	0.55	74.82
2942	0.55	74.82
2942.2	8.97	74.82
2942.4	8.97	55.62
2942.6	1.20	55.57
2942.8	3.02	56.1
2943	2.36	56.11
2943.2	11.93	56.38
2943.4	8.34	56.46
2943.6	5.47	55.78
2943.8	3.56	41.09
2944	4.63	46.09
2944.2	2.73	52.19
2944.4	30.00	55.73
2944.6	2.37	66.27
2944.8	3.64	66.95
2945	1.26	66.99
2945.2	0.80	67.17
2945.6	0.80	67.4
2945.8	0.56	67.45
2946	0.56	68
2946.2	0.56	70.48
2946.4	0.52	70.69
2946.6	0.55	70.73
2947	0.58	71.42
2947.4	0.55	71.57
2947.6	0.55	71.64
2947.8	0.53	74.11
2948	0.53	74.18
2948.4	0.53	74.28
2948.6	0.53	74.33
2948.8	0.53	74.42
2949	0.53	74.48
2949.2	0.58	74.53
2949.4	0.58	74.55
2949.8	0.53	74.64
2950	0.52	74.66
2950.2	0.52	74.68
2950.4	0.52	74.69
2950.6	0.52	74.72
2950.8	0.55	74.72
2951	0.55	74.72
2951.2	0.56	74.73
2951.6	0.53	74.73
2951.8	0.53	74.76
2952	0.52	75.24
2952.2	0.53	75.22
2952.4	0.53	75.2
2952.6	0.53	75.19
2952.8	0.53	75.19
2953	0.53	75.2
2953.2	0.53	75.2
2953.4	0.53	75.18
2953.6	0.53	75.19
2953.8	0.53	51.34
2954	1.19	51.37
2954.2	1.78	51.45
2954.4	2.57	51.55
2954.6	3.24	51.58
2954.8	3.57	52.18
2955	2.62	52.21
2955.2	2.55	52.3
2955.4	2.45	52.35
2955.6	4.68	52.32
2955.8	2.76	52.28
2956	6.36	51.67
2956.2	19.67	51.59
2956.4	11.58	51.36
2956.6	10.43	43.31
2956.8	4.29	47.39
2957	3.59	48.28
2957.2	4.41	48.78
2957.4	10.75	56.59
2957.6	2.42	57.36
2957.8	0.92	57.42
2958	0.78	57.44
2958.2	0.70	57.47
2958.4	0.63	57.48
2958.6	0.63	59.95
2958.8	0.63	59.97
2959	0.63	60.03
2959.2	0.63	60.05
2959.4	0.63	60.05
2959.6	0.63	60.05
2959.8	0.63	60.04
2960	0.58	60.03
2960.2	0.57	60.03
2960.4	0.57	60.02
2960.6	0.54	60.01
2960.8	0.54	59.99
2961	0.61	59.98
2961.4	9.95	59.88
2961.6	1.90	55.37
2961.8	0.91	55.35
2962	0.91	55.34
2962.2	2.40	55.28
2962.4	2.60	55.19
2962.6	2.33	55.14
2962.8	2.73	55.19
2963	1.98	55.19
2963.2	1.98	55.16
2963.4	2.43	55.14
2963.6	3.34	55.1
2963.8	4.34	52.59
2964	1.55	52.68
2964.2	0.87	52.78
2964.6	0.87	52.95
2965	0.87	53.52
2965.2	0.87	53.6
2965.4	0.52	53.65
2965.6	0.53	53.73
2965.8	0.57	56.2
2966	0.57	56.26
2966.4	0.60	56.35
2966.6	0.56	56.37
2966.8	0.54	56.37
2967	0.55	56.39
2967.2	0.57	56.4
2967.4	0.61	56.45
2967.6	0.61	56.44
2967.8	0.60	56.43
2968	0.60	56.44
2968.2	0.62	56.44
2968.4	0.61	56.45
2968.6	0.61	56.46
2968.8	0.56	56.44
2969	0.56	56.45
2969.2	0.56	56.46
2969.4	0.59	56.47
2969.6	0.59	56.46
2969.8	0.59	56.46
2970	0.58	56.41
2970.2	0.58	56.37
2970.4	0.58	56.31
2970.6	0.58	56.27
2970.8	0.62	56.2
2971	3.63	40.95
2971.2	0.96	41.64
2971.4	5.05	41.95
2971.6	4.12	42.06
2971.8	4.55	42.76
2972	4.41	42.8
2972.2	3.16	42.93
2972.4	4.00	42.97
2972.6	3.58	43.15
2972.8	2.44	46.06
2973	3.15	46.19
2973.2	2.23	58.67
2973.4	32.61	50.98
2973.6	2.23	48.11
2973.8	1.04	50.64
2974	0.78	50.72
2974.2	0.78	50.81
2974.4	0.68	50.86
2974.6	0.65	50.91
2974.8	0.60	50.95
2975	0.60	51
2975.2	0.62	51.07
2975.4	0.67	51.08
2975.6	0.64	51.12
2975.8	0.60	51.67
2976	0.60	51.71
2976.2	0.56	51.83
2976.4	0.56	51.85
2976.6	0.56	51.96
2977	0.56	52.05
2977.2	0.56	52.08
2977.4	0.56	52.1
2977.6	0.56	52.18
2977.8	0.57	52.18
2978	0.58	52.2
2978.2	0.58	52.22
2978.4	0.58	52.21
2978.6	0.57	52.24
2978.8	0.56	52.25
2979.2	0.55	52.25
2979.4	0.55	52.24
2979.6	0.55	52.22
2979.8	0.55	52.24
2980	0.55	52.25
2980.2	0.62	52.23
2980.4	3.50	52.24
2980.6	1.96	39.4
2980.8	1.96	39.43
2981	8.97	39.99
2981.2	5.39	40.08
2981.4	5.78	40.14
2981.6	8.04	40.16
2981.8	3.73	40.19
2982	4.08	41.78
2982.2	2.97	40.75
2982.4	3.86	45.68
2982.6	2.55	42.47
2982.8	2.38	41.15
2983	2.70	39.66
2983.2	2.70	40.15
2983.4	2.75	40.16
2983.8	0.91	40.17
2984	0.70	40.21
2984.2	0.64	40.23
2984.4	0.60	40.25
2984.6	0.60	40.75
2984.8	0.48	40.77
2985	0.48	40.8
2985.2	0.47	40.82
2985.4	0.47	40.94
2985.6	0.47	40.97
2985.8	0.47	40.98
2986	0.47	41.01
2986.2	0.47	41.04
2986.4	0.47	41.05
2986.8	0.47	41.06
2987.2	0.47	41.06
2987.4	0.47	41.06
2987.6	0.47	41.07
2987.8	0.47	41.12
2988	0.55	41.17
2988.2	0.55	41.19
2988.6	0.69	41.69
2988.8	0.69	41.71
2989	0.69	41.71
2989.2	0.69	41.23
2989.4	0.53	41.28
2989.6	0.56	41.29
2989.8	0.60	41.84
2990	0.68	74.94
2990.2	0.68	82.06
2990.4	9.19	82.36
2990.6	9.19	38.39
2990.8	9.19	38.37
2991	9.19	44.33
2991.2	0.55	50.72
2991.4	0.55	64.54
2991.6	0.55	39.32
2991.8	0.73	39.22
2992	0.73	38.57
2992.2	0.73	38.02
2992.4	0.73	37.97
2992.6	0.62	37.95
2992.8	0.62	37.93
2993	0.62	40
2993.2	0.62	42.01
2993.4	0.62	53.71
2993.6	0.62	58.62
2994	0.78	63.24
2994.2	0.78	66.68
2994.4	0.78	72.44
2994.6	0.64	72.5
2994.8	0.69	72.66
2995.2	0.69	72.86
2995.4	0.69	75.88
2995.6	0.63	76.57
2995.8	0.63	76.76
2996	0.63	79.23
2996.2	0.63	79.32
2996.4	0.63	79.39
2996.6	0.63	79.47
2996.8	0.65	81.98
2997.4	0.66	81.98
2997.8	0.60	82.22
2998	0.60	82.2
2998.2	0.60	82.17
2998.4	0.60	82.12
2998.6	0.60	82.09
2998.8	0.60	81.56
2999	0.68	81.47
2999.2	0.68	81.4
2999.4	0.68	81.3
2999.8	1.05	68.09
3000	0.94	68.09
3000.2	1.11	68.17
3000.4	1.11	68.17
3000.6	0.56	68.78
3000.8	0.72	71.25
3001	0.72	71.26
3001.2	0.79	71.34
3001.4	0.79	71.36
3001.6	0.62	71.41
3001.8	0.65	71.45
3002	0.68	71.51
3002.2	0.68	71.6
3002.4	0.61	74.6
3002.6	0.63	75.18
3002.8	0.63	75.25
3003	0.65	75.33
3003.2	0.65	75.4
3003.4	0.75	75.42
3003.6	0.74	75.95
3003.8	0.74	75.97
3004	0.74	76.01
3004.2	0.58	76.02
3004.4	0.58	76.03
3004.6	0.58	75.96
3004.8	0.58	75.94
3005.2	0.63	75.44
3005.4	0.63	75.31
3005.6	0.63	75.22
3005.8	0.68	75.16
3006	0.68	75.11
3006.2	0.68	74.57
3006.4	0.68	74.52
3006.6	0.68	74.47
3006.8	0.68	74.42
3007	0.68	74.41
3007.2	0.74	71.95
3007.4	0.80	71.88
3007.6	0.80	71.87
3007.8	0.80	71.84
3008	0.80	71.81
3008.2	0.66	71.79
3008.4	0.66	71.74
3008.6	0.72	71.71
3008.8	4.57	71.21
3009	4.57	50.18
3009.2	4.57	51.21
3009.4	2.30	55.25
3009.6	2.30	55.33
3009.8	0.59	55.94
3010	0.86	59.05
3010.2	0.86	61.65
3010.4	1.07	62.25
3010.6	1.07	62.33
3010.8	0.55	64.83
3011	0.59	69.86
3011.2	0.59	71.16
3011.4	0.59	71.33
3011.6	0.74	71.95
3011.8	0.74	71.98
3012	0.60	74.46
3012.2	0.65	74.7
3012.4	0.75	75.43
3012.8	0.75	75.48
3013	0.64	75.65
3013.2	0.64	75.71
3013.4	0.69	75.8
3013.6	0.69	75.8
3013.8	0.69	78.39
3014	0.62	78.46
3014.2	0.63	78.53
3014.6	0.63	78.54
3014.8	0.63	78.6
3015	0.63	78.66
3015.2	0.63	78.66
3015.4	0.63	78.66
3015.6	0.66	78.71
3015.8	0.66	78.72
3016	0.65	78.78
3016.2	0.65	78.81
3016.4	0.65	78.81
3016.6	0.65	78.86
3016.8	0.65	78.86
3017	0.69	78.86
3017.2	0.69	78.85
3017.4	0.69	78.36
3017.6	0.69	84.77
3017.8	0.69	84.75
3018.2	0.76	84.68
3018.4	0.73	84.63
3018.6	0.96	68.67
3018.8	1.34	68.85
3019	1.59	69.09
3019.2	1.59	69.92
3019.6	0.57	79.82
3019.8	0.63	79.95
3020	0.81	80.24
3020.2	0.75	80.24
3020.4	0.66	80.38
3020.6	0.66	80.55
3020.8	0.66	84.04
3021	0.73	84.17
3021.2	0.86	84.33
3021.4	0.73	84.5
3021.6	0.73	84.54
3021.8	0.73	84.59
3022	0.73	84.86
3022.2	0.73	84.86
3022.4	0.80	87.84
3022.6	0.80	87.88
3022.8	0.80	87.98
3023	0.80	88
3023.2	0.62	88.06
3023.4	0.70	88.13
3023.6	0.70	88.18
3023.8	0.70	88.21
3024	0.64	88.22
3024.2	0.66	88.26
3024.4	0.67	88.31
3024.8	0.67	88.33
3025	0.67	88.34
3025.2	0.65	88.34
3025.4	0.65	88.35
3025.8	0.65	88.39
3026	0.65	88.4
3026.2	0.65	88.43
3026.4	0.68	88.49
3026.6	0.70	88.5
3026.8	0.70	88.48
3027	0.70	88.48
3027.2	0.64	88.49
3027.4	0.64	88.5
3027.6	0.64	88.52
3027.8	0.65	88.58
3028	0.65	88.6
3028.2	1.20	88.61
3028.4	1.20	99.6
3028.6	1.20	99.66
3028.8	0.89	99.71
3029	0.89	99.74
3029.2	0.68	99.83
3029.4	0.68	100.49
3029.6	0.68	103.39
3029.8	0.68	103.44
3030	0.68	106.91
3030.2	0.68	113.26
3030.4	0.58	116.16
3030.6	0.61	116.28
3030.8	0.61	116.31
3031	0.61	116.38
3031.2	0.61	117.02
3031.4	0.61	120.03
3031.6	0.63	120.13
3031.8	0.63	120.23
3032	0.64	120.26
3032.2	0.64	120.32
3032.4	0.64	120.4
3032.6	0.66	120.43
3033	0.69	120.5
3033.4	0.66	121.05
3033.6	0.71	121.04
3033.8	0.71	121.01
3034	0.73	120.45
3034.2	0.73	120.4
3034.4	0.74	120.34
3034.6	0.70	117.55
3034.8	0.61	117.62
3035	0.61	53.6
3035.2	0.69	52.68
3035.6	0.66	48.26
3035.8	0.67	47.77
3036	0.67	47.71
3036.2	0.66	47.66
3036.4	0.62	47.66
3036.6	0.62	47.66
3036.8	0.70	49.82
3037	0.74	53.23
3037.2	0.74	56.73
3037.4	6.30	66.92
3040.8	2.28	61.96
3041	1.34	62
3041.2	1.34	62.06
3041.4	0.62	62.13
3041.6	0.56	62.24
3041.8	0.71	62.39
3042	1.04	62.46
3042.4	0.71	65.94
3042.8	0.60	66.07
3043	0.60	66.16
3043.2	0.81	66.76
3043.4	0.73	66.87
3043.6	0.73	67.02
3043.8	0.65	67.17
3044	0.74	70.01
3044.2	0.76	70.68
3044.4	0.76	71.29
3044.6	0.67	71.93
3044.8	0.67	57.1
3045	0.68	75.47
3045.2	0.70	76.62
3045.4	0.69	77.21
3045.6	0.69	77.37
3045.8	0.71	80.35
3046	0.71	80.4
3046.6	0.63	90.62
3046.8	0.63	91
3047	0.65	94.19
3047.2	0.70	97.18
3047.4	0.76	97.33
3047.6	0.76	100.76
3047.8	0.76	100.89
3048	0.69	101
3048.4	0.69	107.96
3048.6	0.97	108.02
3048.8	0.82	110.91
3049	0.75	110.91
3049.2	0.75	110.91
3049.4	0.82	110.91
3049.6	0.72	114.12
3049.8	0.68	114.17
3050	0.68	114.29
3050.2	0.83	114.87
3050.6	0.75	115.12
3050.8	0.72	117.98
3051	0.72	118
3051.2	0.83	118.08
3051.4	0.83	118.67
3051.6	0.70	121.64
3051.8	0.70	121.68
3052	0.76	121.71
3052.2	0.74	121.82
3052.4	0.73	121.83
3052.6	0.73	124.67
3052.8	0.75	124.74
3053	0.73	124.74
3053.2	0.73	124.72
3053.4	0.72	124.73
3053.6	0.72	124.75
3053.8	0.75	124.78
3054	0.70	124.84
3054.2	0.72	124.93
3054.4	0.77	86.59
3054.6	0.77	81
3054.8	0.69	68.49
3055	0.69	68.23
3055.2	0.69	64.02
3055.4	0.69	66.66
3055.6	0.75	68.2
3055.8	0.78	79.71
3056	0.78	92.97
3056.2	0.75	103.14
3056.4	4.22	112.51
3056.6	1.51	98.41
3056.8	1.09	98.25
3057	1.78	94.02
3057.2	1.78	90.35
3057.4	1.84	86.47
3057.6	2.15	82.1
3057.8	2.03	78.16
3058	1.92	77.88
3058.2	2.92	76.97
3058.4	2.25	73.83
3058.6	1.78	74.32
3058.8	2.53	74.49
3059	2.75	77.39
3059.2	1.86	77.48
3059.4	2.54	78.72
3059.6	4.05	59.72
3059.8	4.05	59.68
3060	4.05	59.6
3060.2	4.05	59.57
3060.4	4.05	59.56
3060.6	4.05	61.75
3060.8	4.05	70.3
3061	1.00	77.6
3061.2	1.00	84.02
3061.4	1.00	91.62
3061.6	0.63	92.95
3061.8	0.77	98.86
3062.2	0.72	102.08
3062.4	0.67	102.15
3062.6	0.66	103.01
3062.8	0.69	108.96
3063	0.69	113.14
3063.4	0.73	116.2
3063.6	0.73	119.41
3063.8	0.68	120.09
3064	0.67	126.26
3064.2	0.70	129.38
3064.4	0.78	135.41
3064.6	0.75	135.79
3064.8	0.64	139.15
3065	0.64	142.17
3065.2	0.64	142.43
3065.4	0.83	142.56
3065.6	0.83	159.53
3065.8	2.86	159.66
3066	2.86	159.84
3066.2	2.86	159.98
3066.4	1.05	160.04
3066.8	0.57	160.1
3067	2.25	160.12
3067.2	2.25	160.14
3067.4	2.25	160.15
3067.6	2.25	157.33
3067.8	0.77	157.27
3068	0.87	157.21
